Identifier,State,Year,Prohibited_Citation,NonresidentCont,OutOfStateCorpCont,OutOfStateCommCont,InNameOfAnother,GamblingCont,GamblingContExplain,RegIndCont,RegIndContExplain,GovtEmpSolicit,ContLegisSession,LegisSessionComments,CandLoan,CandLoanExplain,CorpExpendProhibit,LaborExpendProhib,OtherRestrictionsExplain,ExpForPrimaryCand
"CT2008","CT",2008,"CGS §§ 9-616, 9-622; P.A. 95-188, P.A. 87-524, P.A. 00-43, P.A. 02-130","No","Yes","No","Yes","No",,"Yes","Individuals associated with investment firms that do business with the State Treasurer may not contribute to candidates for the office of State Treasurer. Candidates for the office of State Treasurer may not solicit contributions for  candidates, PACs or political parties.","Yes","Yes","Lobbyists or political committees formed by them or on their behalf may not contribute to legislative candidates during regular sessions in even years and during special and veto sessions in odd years. The ban does not apply to candidates for special election.","No",,"Yes","No",,"No"
"CT2010","CT",2010,"CGS §§ 9-616, 9-622; P.A. 95-188, P.A. 87-524, P.A. 00-43, P.A. 02-130, P.A. 10-1","No","Yes","No","Yes","No",,"Yes","Individuals associated with investment firms that do business with the State Treasurer may not contribute to candidates for the office of State Treasurer. Candidates for the office of State Treasurer may not solicit contributions for  candidates, PACs or political parties.","Yes","Yes","Lobbyists or political committees formed by them or on their behalf may not contribute to legislative candidates during regular sessions in even years and during special and veto sessions in odd years. The ban does not apply to candidates for special election.","No",,"No","No",,"No"
"CT2012","CT",2012,"CGS §§ 9-616, 9-622; P.A. 95-188, P.A. 87-524, P.A. 00-43, P.A. 02-130, P.A. 10-1","No","Yes","No","Yes","No",,"Yes","Individuals associated with investment firms that do business with the State Treasurer may not contribute to candidates for the office of State Treasurer. Candidates for the office of State Treasurer may not solicit contributions for  candidates, PACs or political parties.","Yes","Yes","Lobbyists or political committees formed by them or on their behalf may not contribute to legislative candidates during regular sessions in even years and during special and veto sessions in odd years. The ban does not apply to candidates for special election.","No",,"No","No",,"No"
"CT2014","CT",2014,"CGS §§ 9-616, 9-622; P.A. 95-188, P.A. 87-524, P.A. 00-43, P.A. 02-130, P.A. 10-1","No","Yes","No","Yes","No",,"Yes","Individuals associated with investment firms that do business with the State Treasurer may not contribute to candidates for the office of State Treasurer. Candidates for the office of State Treasurer may not solicit contributions for  candidates, PACs or political parties.","Yes","Yes","Lobbyists or political committees formed by them or on their behalf may not contribute to legislative candidates during regular sessions in even years and during special and veto sessions in odd years. The ban does not apply to candidates for special election.","No",,"No","No",,"No"
"CT2016","CT",2016,"CGS §§ 9-616, 9-622; P.A. 95-188, P.A. 87-524, P.A. 00-43, P.A. 02-130, P.A. 10-1","No","Yes","No","Yes","No",,"Yes","Individuals associated with investment firms that do business with the State Treasurer may not contribute to candidates for the office of State Treasurer. Candidates for the office of State Treasurer may not solicit contributions for  candidates, PACs or political parties.","Yes","Yes","Lobbyists or political committees formed by them or on their behalf may not contribute to legislative candidates during regular sessions in even years and during special and veto sessions in odd years. The ban does not apply to candidates for special election.","No",,"No","No",,"No"
"CT2018","CT",2018,"CGS §§ 9-613, 9-616, 9-622","No","Yes","No","Yes","No",,"Yes","Sec. 9-612 (e)(2) No principal of an investment services firm shall make a contribution to, or solicit contributions on behalf of, an exploratory committee or candidate committee established by a candidate for nomination or election to the office of State Treasurer during the term of office of the State Treasurer who pays compensation, expenses or fees or issues a contract to such firm.","Yes","Yes","Sec. 9-610 (e) During any regular session of the General Assembly, during any special session of the General Assembly held between the adjournment of the regular session in an odd-numbered year and the convening of the regular session in the following even-numbered year or during any reconvened session of the General Assembly held in an odd-numbered year to reconsider vetoed bills, (1) no lobbyist or political committee established by or on behalf of a lobbyist shall make or offer to make a contribution to or on behalf of, and no lobbyist shall solicit a contribution on behalf of, (A) a candidate or exploratory committee established by a candidate for nomination or election to the General Assembly or a state office, or (B) a political committee (i) established for an assembly or senatorial district, (ii) established by a member of the General Assembly or a state officer or such member or officer's agent, or in consultation with, or at the request or suggestion of, any such member, officer or agent, or (iii) controlled by such member, officer or agent, to aid or promote the nomination or election of any candidate or candidates to the General Assembly or a state office.","No",,"No","No",,"No"
"DE1996","DE",1996,"67 Del. Laws, c. 449, § 1; 1996 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE1998","DE",1998,"67 Del. Laws, c. 449, § 1; 1998 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2000","DE",2000,"67 Del. Laws, c. 449, § 1; 2000 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2002","DE",2002,"67 Del. Laws, c. 449, § 1; 2002 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2004","DE",2004,"67 Del. Laws, c. 449, § 1; 2004 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2006","DE",2006,"67 Del. Laws, c. 449, § 1; 2006 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2008","DE",2008,"67 Del. Laws, c. 449, § 1; 2008 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2010","DE",2010,"67 Del. Laws, c. 449, § 1; 2010 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2012","DE",2012,"67 Del. Laws, c. 449, § 1; 2012 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2014","DE",2014,"67 Del. Laws, c. 449, § 1; 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2016","DE",2016,"67 Del. Laws, c. 449, § 1; 15 Del. C. § 8006","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No",,"No"
"DE2018","DE",2018,"DE Laws Title 15, Chapter 80 § 8006","No","No","No","Yes","No","NA","No","NA","No","No","NA","No","NA","No","No","(a) No person shall make, and no candidate, treasurer or any other person acting on behalf of a political committee shall accept, any contribution in excess of $50 in cash to a political committee during an election period.

(d) No agency of the State, no political subdivision of the State, no agency of any political subdivision of the State and no agency authorized by an act of the General Assembly shall make any contribution to any political committee or candidate for any elective office. No candidate, treasurer or other person acting on behalf of a political committee shall accept any contribution from any agency of the State, any political subdivision of the State, any agency of any political subdivision of the State or any agency authorized by an act of the General Assembly. Notwithstanding the foregoing, a political subdivision of the State which has enacted an ordinance providing for public financing of elections shall be permitted to make contributions in an amount authorized by such ordinance for campaign expenditures authorized by § 8020 of this title to a candidate committee of a candidate for public office of such political subdivision and the candidate committee shall be permitted to accept such contributions.","No"
"FL1996","FL",1996,"Fla. Stat. § 106.08 (1996)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
The solicitation from, and contributions by, candidates, political committees, and party executive committees to any religious, charitable, civic, or other causes or organizations established primarily for the public good are expressly prohibited. However, it shall not be construed as a violation of this subsection for a candidate, political committee, or party executive committee to make gifts of money in lieu of flowers in memory of a deceased person or for a candidate to continue membership in or regular contributions paid from personal or business funds to religious, political party, civic, or charitable groups of which the candidate is a member or to which he or she has been a regular contributor for more than 6 months. A candidate may purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL1998","FL",1998,"Fla. Stat. § 106.08 (1998)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
Candidates, political committees, and political parties may not solicit contributions from or make contributions to any religious, charitable, civic, or other causes or organizations established primarily for the public good. However, it is not a violation of this subsection for a candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person or for a candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months. A candidate may purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2000","FL",2000,"Fla. Stat. §§ 106.08, 240.331(4)(d), 240.3315(4)(c) (2000)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
A community college direct-support organization is prohibited from giving, either directly or indirectly, any gift to a political committee or committee of continuous existence as defined in s. 106.011 for any purpose other than those certified by a majority roll call vote of the governing board of the direct-support organization at a regularly scheduled meeting as being directly related to the educational mission of the community college.
A statewide community college direct-support organization is prohibited from giving, either directly or indirectly, any gift to a political committee or committee of continuous existence as defined in s. 106.011 for any purpose other than those certified by a majority roll call vote of the governing board of the direct-support organization at a regularly scheduled meeting as being directly related to the educational mission of the State Board of Community Colleges.
Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2002","FL",2002,"Fla. Stat. §§ 106.08, 240.331(4)(d), 240.3315(4)(c) (2002)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.

106.08(5) was changed mid-cycle. The previous version read:
(5) A person may not make any contribution through or in the name of another, directly or indirectly, in any election. Candidates, political committees, and political parties may not solicit contributions from or make contributions to any religious, charitable, civic, or other causes or organizations established primarily for the public good. However, it is not a violation of this subsection for a candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person or for a candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months. A candidate may purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.

The version effective May 24, 2002 read: 
(a) A person may not make any contribution through or in the name of another, directly or indirectly, in any election.
(b) Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
(c) Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.

A community college direct-support organization is prohibited from giving, either directly or indirectly, any gift to a political committee or committee of continuous existence as defined in s. 106.011 for any purpose other than those certified by a majority roll call vote of the governing board of the direct-support organization at a regularly scheduled meeting as being directly related to the educational mission of the community college.
A statewide community college direct-support organization is prohibited from giving, either directly or indirectly, any gift to a political committee or committee of continuous existence as defined in s. 106.011 for any purpose other than those certified by a majority roll call vote of the governing board of the direct-support organization at a regularly scheduled meeting as being directly related to the educational mission of the State Board of Community Colleges.","No"
"FL2004","FL",2004,"Fla. Stat. § 106.08 (2004)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2006","FL",2006,"Fla. Stat. § 106.08 (2006)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2008","FL",2008,"Fla. Stat. § 106.08 (2008)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2010","FL",2010,"Fla. Stat. § 106.08 (2010)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2012","FL",2012,"Fla. Stat. § 106.08 (2012)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2014","FL",2014,"Fla. Stat. § 106.08 (2014)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2016","FL",2016,"Fla. Stat. § 106.08 (2014)","No","No","No","Yes","No",,"No",,"No","No",,"No","Loans are considered contributions. So the contribution limit on those making contributions apply, but there is no limit on the amount of loans a candidate may take out.","No","No","Earmarked contributions prohibited.
Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups.","No"
"FL2018","FL",2018,"Fla. Stat. § 106.08","No","No","No","Yes","No",,"No",,"No","No",,"No",,"No","No","Candidates with opposition must return contributions made less than five days before an election. Fla. Stat. § 106.08(3)(a)

Any contribution received by a candidate or by the campaign treasurer or a deputy campaign treasurer of a candidate after the date at which the candidate withdraws his or her candidacy, or after the date the candidate is defeated, becomes unopposed, or is elected to office must be returned. § 106.08(3)(b)

Any contribution received by the chair, campaign treasurer, or deputy campaign treasurer of a political committee supporting or opposing a candidate with opposition in an election or supporting or opposing an issue on the ballot in an election on the day of that election or less than 5 days before the day of that election may not be obligated or expended by the committee until after the date of the election.  § 106.08(4)

Earmarked contributions prohibited. Fla. Stat. § 106.08(6)(a)

Candidates, political committees, and political parties may not solicit contributions from any religious, charitable, civic, or other causes or organizations established primarily for the public good.
Candidates, political committees, and political parties may not make contributions, in exchange for political support, to any religious, charitable, civic, or other cause or organization established primarily for the public good. It is not a violation of this paragraph for:
1. A candidate, political committee, or political party executive committee to make gifts of money in lieu of flowers in memory of a deceased person;
2. A candidate to continue membership in, or make regular donations from personal or business funds to, religious, political party, civic, or charitable groups of which the candidate is a member or to which the candidate has been a regular donor for more than 6 months; or
3. A candidate to purchase, with campaign funds, tickets, admission to events, or advertisements from religious, civic, political party, or charitable groups. § 106.08(5)(b)&©","No"
"GA1996","GA",1996,"Ga. Code Ann. § 21-5-30.1 (1996); Ga. Code Ann. § 21-5-30.2 (1996); Ga. Code Ann. § 21-5-31 (1996); Ga. Code Ann. § 21-5-35 (1996).","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
"GA1998","GA",1998,"Ga. Code Ann. § 21-5-30.1 (1998); Ga. Code Ann. § 21-5-30.2 (1998); Ga. Code Ann. § 21-5-31 (1998); Ga. Code Ann. § 21-5-35 (1998).","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
"GA2000","GA",2000,"Ga. Code Ann. § 21-5-30.1 (1998); Ga. Code Ann. § 21-5-30.2 (1998); Ga. Code Ann. § 21-5-31 (1998); Ga. Code Ann. § 21-5-35 (1998).","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
"GA2002","GA",2002,"Ga. Code Ann. § 21-5-30.1 (1998); Ga. Code Ann. § 21-5-30.2 (1998); Ga. Code Ann. § 21-5-31 (1998); Ga. Code Ann. § 21-5-35 (1998).","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
"GA2004","GA",2004,"Ga. Code Ann. § 21-5-30.1 (1998); Ga. Code Ann. § 21-5-30.2 (1998); Ga. Code Ann. § 21-5-31 (1998); Ga. Code Ann. § 21-5-35 (1998).","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
"GA2006","GA",2006,"Ga. Code Ann. § 21-5-30.1; Ga. Code Ann. § 21-5-30.2; Ga. Code Ann. § 21-5-31; Ga. Code Ann. § 21-5-35.","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
"GA2008","GA",2008,"Ga. Code Ann. § 21-5-30.1; Ga. Code Ann. § 21-5-30.2; Ga. Code Ann. § 21-5-31; Ga. Code Ann. § 21-5-35.","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
"GA2010","GA",2010,"Ga. Code Ann. § 21-5-30.1; Ga. Code Ann. § 21-5-30.2; Ga. Code Ann. § 21-5-31; Ga. Code Ann. § 21-5-35.","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission. Additional change in 2009, to specifically permit an officer of a regulated entity to voluntarily make contributions from his or her own
personal funds.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
"GA2012","GA",2012,"Ga. Code Ann. § 21-5-30.1; Ga. Code Ann. § 21-5-30.2; Ga. Code Ann. § 21-5-31; Ga. Code Ann. § 21-5-35.","No","No","No","Yes","No",,"Yes","Regulated entities are prohibited from making contributions to candidates or elected executive officers. Those acting on behalf of the regulated entities (such as PACs) are also prohibited from making such contributions. New language added to this subsection, effective July 1, 1996, states that this subsection shall not apply to motor carriers whose rates are not regulated by the Public Service Commission. Additional change in 2009, to specifically permit an officer of a regulated entity to voluntarily make contributions from his or her own
personal funds.","No","Yes","Public officers elected state-wide, members of the General Assembly, and the campaign committees of public officials elected state-wide and members of the General Assembly are prohibited from accepting contributions during the legislative session. This prohibition does not apply to contributions which are returned to the donor in a reasonable amount of time, the receipt and acceptance during a legislative session that consists of proceeds from a fundraiser held prior to the legislative session, or a judicial officer elected state-wide or the campaign committee of such a judicial officer.","No",,"No","No","No state agency or person acting on behalf of a state agency may make a contribution to any candidate, campaign committee, political action committee, or political organization.

Interest earned on contributions shall not be considered a personal asset of the candidate.","No"
