Identifier,State,Year,Disclosure_Citation,CandFileReceipts,CandFileExpend,CandFileExemption,CandFileExemption_Amount,CandDonorExemption,CandDonorExplain,CandDonorAddress,CandDonorOccupation,CandDonorEmployer,CandExpendWho,CandExpendAddress,CandExpendPurpose,Cand_PreElection_Regular,CandFile_Electronic,CandFile_Electronic_Exemption,CandFile_Electronic_Exemption_Amount,CandFile_BundlerEarmarked,CandFile_BundlerEarmarked_Explained,Cand_SpecialReport,Cand_SpecialReport_Explained,PartyFileReceipts,PartyFileExpend,PartyFileExemption,PartyFileExemption_Amount,PartyDonorExemption,PartyDonorExplain,PartyDonorAddress,PartyDonorOccupation,PartyDonorEmployer,PartyExpendWho,PartyExpendAddress,PartyExpendPurpose,Party_PreElection_Regular,PartyFile_Electronic,PartyFile_Electronic_Exemption,PartyFile_Electronic_Exemption_Amount,PartyFile_BundlerEarmarked,PartyFile_BundlerEarmarked_Explained,PACFileReceipts,PACFileExpend,PACFileExemption,PACFileExemption_Amount,PACDonorExemption,PACDonorExplain,PACDonorAddress,PACDonorOccupation,PACDonorEmployer,PACExpendWho,PACExpendAddress,PACExpendPurpose,PAC_PreElection_Regular,PAC_PreElection_Available,PACFile_Electronic,PACFile_Electronic_Exemption,PACFile_Electronic_Exemption_Amount,PACFile_BundlerEarmarked,PACFile_BundlerEarmarked_Explained,BallotPropFile_Receipts,BallotPropFile_Expend,BallotProp_PolComm,BallotPropFileExemption,BallotPropFileExemption_Amount,BallotDonorExemption,BallotDonorExplain,BallotDonorAddress,BallotDonorOccupation,BallotDonorEmployer,BallotExpendWho,BallotExpendAddress,BallotExpendPurpose,Ballot_PreElection_Regular,Ballot_PreElection_Available,BallotFile_Electronic,BallotFile_Electronic_Exemption,BallotFile_Electronic_Exemption_A,BallotFile_BundlerEarmarked,BallotFile_BundlerEarmarked_Explained
"NV1996","NV",1996,"Nev. Rev. Stat. Ann. § 294A","Yes","Yes","Yes","501","501",,"Yes","No","No","No","No","Yes","15","No","No",,"No",,"No",,"No","Yes","Yes","501","501",,"No","No","No","No","No","Yes","15","No","No",,"No",,"Yes","Yes","Yes","501","501",,"Yes","No","No","No","No","Yes","15","NA","No","No",,"No",,"Yes","Yes","No","No","0","501",,"No","No","No","No","No","No","4",,"No",,,"No",
"HI1996","HI",1996,"Historic Code: 1987 Haw. Laws Ch.369 § 1;  1995 Haw. Laws Ch.10 §2; Current Code: Haw. Rev. Stat. §§  11-194; 11-195; 11-196; 11-212; 11-213","Yes","Yes","Yes","101","101","If the donor donates more than an aggregate of $1,000 during an election period, the candidate must report the donor's address, occupation, and employer. The occupation and employe are not required for donors who donate less than $1,000 in the aggregate.","Yes","Yes","Yes","Yes","Yes","Yes","10","Yes","Yes",,"Yes","Earmarked funds means contributions received by a committee or party on the condition that the funds be contributed to or expended on certain candidates, issues, or questions.

A report must disclosethe original source of all earmarked funds, the ultimate recipient of the earmarked funds, and the fact that the funds are earmarked.","Yes","(1) If the candidate committee has a deficit, the committee must file reports every six months until the deficit is eliminated, starting the 30th day after the election.
(2) If the candidate receives less than $2,000 in aggregate contributions or expenditures, he or she may file a ""short form"" report","Yes","Yes","Yes","1001","101","If the donor donates more than an aggregate of $1,000 during an election period, the candidate must report the donor's address, occupation, and employer. The occupation and employe are not required for donors who donate less than $1,000 in the aggregate.","Yes","Yes","Yes","Yes","Yes","Yes","10","No","No",,"Yes","Earmarked funds means contributions received by a committee or party on the condition that the funds be contributed to or expended on certain candidates, issues, or questions.

A report must disclosethe original source of all earmarked funds, the ultimate recipient of the earmarked funds, and the fact that the funds are earmarked.","Yes","Yes","Yes","1001","101","If the donor donates more than an aggregate of $1,000 during an election period, the candidate must report the donor's address, occupation, and employer. The occupation and employe are not required for donors who donate less than $1,000 in the aggregate.","Yes","Yes","Yes","Yes","Yes","Yes","10",,"No","No",,"Yes","Earmarked funds means contributions received by a committee or party on the condition that the funds be contributed to or expended on certain candidates, issues, or questions.

A report must disclosethe original source of all earmarked funds, the ultimate recipient of the earmarked funds, and the fact that the funds are earmarked.","Yes","Yes","Yes","Yes","1001","101","If the donor donates more than an aggregate of $1,000 during an election period, the candidate must report the donor's address, occupation, and employer. The occupation and employe are not required for donors who donate less than $1,000 in the aggregate.","Yes","Yes","Yes","Yes","Yes","Yes","10",,"No",,,"Yes","Earmarked funds means contributions received by a committee or party on the condition that the funds be contributed to or expended on certain candidates, issues, or questions.

A report must disclosethe original source of all earmarked funds, the ultimate recipient of the earmarked funds, and the fact that the funds are earmarked."
"NV1998","NV",1998,"Nev. Rev. Stat. Ann. § 294A","Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","NA","No","No",,"No",,"Yes","Yes","No","No","0","101",,"Yes","No","No","No","No","No","4",,"No",,,"No",
"NV2000","NV",2000,"Nev. Rev. Stat. Ann. § 294A","Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","15","No","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","15",,"No","No",,"No",,"Yes","Yes","No","No","0","101",,"Yes","No","No","No","No","No","4",,"No",,,"No",
"NV2002","NV",2002,"Nev. Rev. Stat. Ann. § 294A","Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","NA","No","No",,"No",,"Yes","Yes","No","No","0","101",,"Yes","No","No","No","No","No","4",,"No",,,"No",
"NV2004","NV",2004,"Nev. Rev. Stat. Ann. § 294A","Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7",,"No","No",,"No",,"Yes","Yes","No","No","0","101",,"Yes","No","No","No","No","No","4",,"No",,,"No",
"NV2006","NV",2006,"Nev. Rev. Stat. Ann. § 294A","Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7",,"No","No",,"No",,"Yes","Yes","No","No","0","101",,"Yes","No","No","No","No","No","4",,"No",,,"No",
"NV2008","NV",2008,"Nev. Rev. Stat. Ann. § 294A","Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7",,"No","No",,"No",,"Yes","Yes","No","No","0","101",,"Yes","No","No","No","No","No","4",,"No",,,"No",
"NV2010","NV",2010,"Nev. Rev. Stat. Ann. § 294A","Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7",,"No","No",,"No",,"Yes","Yes","No","No","0","101",,"Yes","No","No","No","No","No","4",,"No",,,"No",
"NV2012","NV",2012,"Nev. Rev. Stat. Ann. § 294A; § 294A.3733; § 294A.120; § 294A.125","Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","Yes","Yes","$10,001","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7","No","No",,"No",,"Yes","Yes","Yes","101","101",,"Yes","No","No","No","No","Yes","7",,"No","No",,"No",,"Yes","Yes","No","No","0","101",,"Yes","No","No","No","No","No","4",,"No",,,"No",
"NY1996","NY",1996,"14-124(4); 14-102; 14-104","Yes","Yes","Yes","1001","100","The threshold is always 100, but for PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","No","No",,"No",,"No",,"Yes","Yes","No","0","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed.","Yes","No","No","Yes","Yes","Yes","11","No","No",,"No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","No","No",,"No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","No","No",,"No",
"NY1998","NY",1998,"14-124(4); 14-102; 14-104","Yes","Yes","Yes","1001","100","The threshold is always 100, but for PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","No","No",,"No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed.","Yes","No","No","Yes","Yes","Yes","11","No","No",,"No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","No",,"No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","No",,"No",
"NY2000","NY",2000,"14-124(4); 14-102[1997, ch 430, § 26]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed. Time frame for the $100 threshold is one year.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",
"NY2002","NY",2002,"14-124(4); 14-102[1997, ch 430, § 26]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed. Time frame for $100 threshold is one year","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",
"NY2004","NY",2004,"14-124(4); 14-102[1997, ch 430, § 26]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed. $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",
"NY2006","NY",2006,"14-124(4); 14-102[2005, ch 406, § 2]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed. $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",
"NY2008","NY",2008,"14-124(4); 14-102[2005, ch 406, § 2]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed. $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",
"NY2010","NY",2010,"14-124(4); 14-102[2005, ch 406, § 2]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed. $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",
"NY2012","NY",2012,"14-124(4); 14-102[2005, ch 406, § 2]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed. $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",
"NY2014","NY",2014,"14-124(4); 14-102[2005, ch 406, § 2]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11","NA","Yes","Yes","1001","No",
"NY2016","NY",2016,"14-124(4); 14-102[2005, ch 406, § 2]; 14-104; 3-102(9-A)","Yes","Yes","Yes","1001","100","The threshold is always 100, but the time frame for candidates is one election cycle.  For PACs and Parties, it is $100 in one calendar year instead of the standard election cycle time frame.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"No",,"Yes","Yes","Yes","1001","100","if the transferor, contributor, or person is a political committee; the name of and the political unit represented by the committee shall be disclosed.","Yes","No","No","Yes","Yes","Yes","11","Yes","Yes","1001","No",,"Yes","Yes","No","0","100","If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11",,"Yes","Yes","1001","No",,"Yes","Yes","Yes","No","0","100","See NY § 14-102 for ballot comm. reporting qualification. If a contribution exceeds $1,000 it must be reported within 24 hours; $100 disclosure limit applies to each calendar year.","Yes","No","No","Yes","Yes","Yes","11",,"Yes","Yes","1001","No",
"OH1996","OH",1996,"Ohio Rev. Code Ann. §§ 3517.10, 3517.105, 3517.20, 3517.13","Yes","Yes","Yes","1000","0","Employer is required if an individual gave over 100 dollars, or if the wages deducted amount to over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","No",,,"No",,"No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","Yes","Yes","Yes","Yes","12","No",,,"No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","No",,,"No",,"Yes","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","No",,,"No",
"OH1998","OH",1998,"1995 S 8, eff. 8-23-95 (Ohio Code § 3517.10)","Yes","Yes","Yes","1000","0","Employer is required if an individual gave over 100 dollars, or if the wages deducted amount to over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","No",,,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","Yes","Yes","Yes","Yes","12","No",,,"No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","No",,,"No",,"Yes","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","No",,,"No",
"OK1996","OK",1996,"Current law: Okla. Stat. Ann. tit. 74, §257: 10-1-13","Yes","Yes","Yes","501","51","N/A","Yes","Yes","Yes","No","No","Yes","8","No","No",,"Yes","257:10-1-2; ""… shall be treated as contributions from such person to such candidate committee. It shall be prohibited for an intermediary or a conduit to make a contribution to a committee in his or her own name rather than the name of the original source of such contribution.""","No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8","No","No",,"No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8","NA","No","No",,"No",,"Yes","Yes","No","No","0","51","Reporting Period","Yes","Yes","Yes","No","No","Yes","8","NA","No",,,"Yes","....earmarked or otherwise directed through an intermediary or conduit to such candidate 
committee, shall be treated as contributions from such person to such 
candidate committee. .... The reports shall show the  correct name of the person actually making the contribution."
"OK1998","OK",1998,"Current law: Okla. Stat. Ann. tit. 74, §257: 10-1-13","Yes","Yes","Yes","501","51","N/A","Yes","Yes","Yes","No","No","Yes","8","No","No",,"Yes","257:10-1-2; ""… shall be treated as contributions from such person to such candidate committee. It shall be prohibited for an intermediary or a conduit to make a contribution to a committee in his or her own name rather than the name of the original source of such contribution.""","No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8","No","No",,"No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8",,"No","No",,"No",,"Yes","Yes","No","No","0","51","Reporting Period","Yes","Yes","Yes","No","No","Yes","8","NA","No",,,"Yes","....earmarked or otherwise directed through an intermediary or conduit to such candidate 
committee, shall be treated as contributions from such person to such 
candidate committee. .... The reports shall show the  correct name of the person actually making the contribution."
"OK2000","OK",2000,"Current law: Okla. Stat. Ann. tit. 74, §257: 10-1-13","Yes","Yes","Yes","501","51","N/A","Yes","Yes","Yes","No","No","Yes","8","No","No",,"Yes","257:10-1-2; ""… shall be treated as contributions from such person to such candidate committee. It shall be prohibited for an intermediary or a conduit to make a contribution to a committee in his or her own name rather than the name of the original source of such contribution.""","No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8","No","No",,"No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8",,"No","No",,"No",,"Yes","Yes","No","No","0","51","Reporting Period","Yes","Yes","Yes","No","No","Yes","8","NA","No",,,"Yes","....earmarked or otherwise directed through an intermediary or conduit to such candidate 
committee, shall be treated as contributions from such person to such 
candidate committee. .... The reports shall show the  correct name of the person actually making the contribution."
"OK2002","OK",2002,"Current law: Okla. Stat. Ann. tit. 74, §257: 10-1-13","Yes","Yes","Yes","501","51","N/A","Yes","Yes","Yes","No","No","Yes","8","No","No",,"Yes","257:10-1-2; ""… shall be treated as contributions from such person to such candidate committee. It shall be prohibited for an intermediary or a conduit to make a contribution to a committee in his or her own name rather than the name of the original source of such contribution.""","No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8","No","No",,"No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8",,"No","No",,"No",,"Yes","Yes","No","No","0","51","Reporting Period","Yes","Yes","Yes","No","No","Yes","8","NA","No",,,"Yes","....earmarked or otherwise directed through an intermediary or conduit to such candidate 
committee, shall be treated as contributions from such person to such 
candidate committee. .... The reports shall show the  correct name of the person actually making the contribution."
"OK2004","OK",2004,"Current law: Okla. Stat. Ann. tit. 74, §257: 10-1-13","Yes","Yes","Yes","501","51","N/A","Yes","Yes","Yes","No","No","Yes","8","No","No",,"Yes","257:10-1-2; ""… shall be treated as contributions from such person to such candidate committee. It shall be prohibited for an intermediary or a conduit to make a contribution to a committee in his or her own name rather than the name of the original source of such contribution.""","No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8","No","No",,"No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8",,"No","No",,"No",,"Yes","Yes","No","No","0","51","Reporting Period","Yes","Yes","Yes","No","No","Yes","8","NA","No",,,"Yes","....earmarked or otherwise directed through an intermediary or conduit to such candidate 
committee, shall be treated as contributions from such person to such 
candidate committee. .... The reports shall show the  correct name of the person actually making the contribution."
"OK2006","OK",2006,"Current law: Okla. Stat. Ann. tit. 74, §§ 257: 10-1-13; 257: 10-1-9","Yes","Yes","Yes","501","51","N/A","Yes","Yes","Yes","No","No","Yes","8","Yes","Changed mid-cycle","20001","Yes","257:10-1-2; ""… shall be treated as contributions from such person to such candidate committee. It shall be prohibited for an intermediary or a conduit to make a contribution to a committee in his or her own name rather than the name of the original source of such contribution.""","No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8","No","No",,"No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8",,"No","No",,"No",,"Yes","Yes","No","No","0","51","Reporting Period","Yes","Yes","Yes","No","No","Yes","8","NA","No",,,"Yes","....earmarked or otherwise directed through an intermediary or conduit to such candidate 
committee, shall be treated as contributions from such person to such 
candidate committee. .... The reports shall show the  correct name of the person actually making the contribution."
"OK2008","OK",2008,"Current law: Okla. Stat. Ann. tit. 74, §§ 257: 10-1-13; 257: 10-1-9","Yes","Yes","Yes","501","51","N/A","Yes","Yes","Yes","No","No","Yes","8","Yes","Yes","20001","Yes","257:10-1-2; ""… shall be treated as contributions from such person to such candidate committee. It shall be prohibited for an intermediary or a conduit to make a contribution to a committee in his or her own name rather than the name of the original source of such contribution.""","No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8","No","No",,"No",,"Yes","Yes","Yes","501","51",,"Yes","Yes","Yes","No","No","Yes","8",,"No","No",,"No",,"Yes","Yes","No","No","0","51","Reporting Period","Yes","Yes","Yes","No","No","Yes","8","NA","No",,,"Yes","....earmarked or otherwise directed through an intermediary or conduit to such candidate 
committee, shall be treated as contributions from such person to such 
candidate committee. .... The reports shall show the  correct name of the person actually making the contribution."
