Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"FL2000","FL",2000,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$8 million (3 million + 5 million)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $25,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,,"No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2002","FL",2002,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$8 million (3 million + 5 million)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $25,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"1963061.97","No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2004","FL",2004,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$8 million (3 million + 5 million)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $25,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,,"No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2006","FL",2006,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"3309338.61","No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2008","FL",2008,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$24,901,170; General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,,"No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2010","FL",2010,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$24,901,170; General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"1816014.47","No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2012","FL",2012,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$25,067,768; General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,,"No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2014","FL",2014,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$25,067,768; General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"2579779.91","No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2016","FL",2016,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$25,067,768; General election limit = $2 for each Florida registered voter and primary election limit = 60% of general election limit","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,"2579779.91","No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,"FL",,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"FL2018","FL",2018,"Fla. Stat. §§ 106.32/33, 106.34/35","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Matching Funds","For qualifying matching contributions making up all or any portion of the $150,000  qualifying threshold, distribution shall be on a two-to-one basis. For all other qualifying matching contributions, distribution shall be on a one-to-one basis.

Qualifying matching contributions are those of $250 or less from an individual, made after September 1 of the calendar year prior to the election. Aggregate contributions from an individual in excess of $250 will be matched only up to $250. A contribution from an individual, if made by check, must be drawn on the personal bank account of the individual making the contribution, as opposed to any form of business account, regardless of whether the business account is for a corporation, partnership, sole proprietorship, trust, or other form of business arrangement. For contributions made by check from a personal joint account, the match shall only be for the individual who actually signs the check. ((b) Contributions from individuals who at the time of contributing are not state residents may not be used to meet the threshold amounts in paragraph (a). For purposes of this paragraph, any person validly registered to vote in this state shall be considered a state resident.)","Must raise $150,000","Yes","$27,091,462 ($2 for each Florida-registered voters. Candidates who only face primary election opposition must limit total expendiutres to 60 percent of the total limit)","Yes","Limit loans or contributions from the candidate's personal funds to $25,000 and contributions from national, state, and county executive committees of a political party to $250,000 in the aggregate, which loans or contributions shall not qualify for meeting the threshold amounts in subsection (2).","No",,,"No","No","Yes","If more than three-fourths of the full authorized membership of the state executive committee of any party was elected and party has 5 percent of the total registration","85 percent of all filing fees collected from candidates of that party",,,,,,,,,,,"85 percent of all filing fees collected from candidates of that party",,
"GA1996","GA",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"GA1998","GA",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2000","GA",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2002","GA",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2004","GA",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2006","GA",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2008","GA",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2010","GA",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2012","GA",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2014","GA",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2016","GA",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"GA",,,,,,,,,,
"GA2018","GA",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"HI2000","HI",2000,"Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-208; 11-209; 11-219; 11-220","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $1500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $2500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match; The maximum amount of public funds available in each election to a candidate for the office of  governor shall not exceed ten per cent of the expenditure limit established in section 11-423(d) for each election.","A gubernatorial candidate must raise more than $75,000 total to qualify; A second candidate must also qualify in order for a candidate to receive public funding.","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $2.50 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","No",,,,,"HI",,,,,,,,"Public financing is funded in two ways:
(1) $2 checkoff if file individually and $2 per person if spouses file jointly. This checkoff does not increase taxes
(2) Any contributions received by a candidate or committee in excess of the limitations or any public financing receive by a candidate which is not used must be reverted to the Hawaii election campaign fund.",,
"HI2006","HI",2006,"Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-208; 11-209; 11-219; 11-220","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $1500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $2500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match; The maximum amount of public funds available in each election to a candidate for the office of  governor shall not exceed ten per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $100,000 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (1)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $2.50 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","No",,,,,"HI",,,,,,,,"Public financing is funded in two ways:
(1) $2 checkoff if file individually and $2 per person if spouses file jointly. This checkoff does not increase taxes
(2) Any contributions received by a candidate or committee in excess of the limitations or any public financing receive by a candidate which is not used must be reverted to the Hawaii election campaign fund.",,
"HI2012","HI",2012,"Current Code: Haw. Rev. Stat. §  11-421-435; Historic Code: 1995 Haw. Laws Ch.10 § 2;","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $1500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $2500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match; The maximum amount of public funds available in each election to a candidate for the office of  governor shall not exceed ten per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $100,000 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (1)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $2.50 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","No",,,,,"HI",,,,,,,,"Public financing is funded in two ways:
(1) $3 checkoff if file individually and $3 per person if spouses file jointly. This checkoff does not increase taxes
(2) Any contributions received by a candidate or committee in excess of the limitations or any public financing receive by a candidate which is not used must be reverted to the Hawaii election campaign fund.",,
"HI2016","HI",2016,"Current Code: Haw. Rev. Stat. §  11-421-435; Historic Code: 1995 Haw. Laws Ch.10 § 2;","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $1500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $2500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match; The maximum amount of public funds available in each election to a candidate for the office of  governor shall not exceed ten per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $100,000 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (1)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $2.50 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","No",,,,,"HI",,,,,,,,"Public financing is funded in two ways:
(1) $3 checkoff if file individually and $3 per person if spouses file jointly. This checkoff does not increase taxes
(2) Any contributions received by a candidate or committee in excess of the limitations or any public financing receive by a candidate which is not used must be reverted to the Hawaii election campaign fund.",,
"HI2018","HI",2018,"Current Code: Haw. Rev. Stat. §  11-421-435; Historic Code: 1995 Haw. Laws Ch.10 § 2;","Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $1500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,,,"Yes","Matching Funds","1:1 match. The maximum amount of public funds available in each election to a candidate for the office of state representative shall not exceed fifteen per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $2500 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (4)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $1.40 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","Yes","Matching Funds","1:1 match; The maximum amount of public funds available in each election to a candidate for the office of  governor shall not exceed ten per cent of the expenditure limit established in section 11-423(d) for each election.","Must NOT be unopposed, shall be in receipt of $100,000 qualifying funds, Shall not exceed spending limit as indicated in 11-423 (d) (1)","Yes","Spending limit varies based upon the population of jurisdiction. Shall not exceed $2.50 multiplied by the number of voters  in the last preceding general election registered to vote in each respective voting district.","Yes","Candidates must agree to keep detailed records, agree to audit by the Commission, and agree to pay any amounts required to be paid by virtue of an audit, and qualify to be on the election ballot","No",,,"No","No","No",,,,,,,,,,,,,"Public financing is funded in two ways:
(1) $3 checkoff if file individually and $3 per person if spouses file jointly. This checkoff does not increase taxes
(2) Any contributions received by a candidate or committee in excess of the limitations or any public financing receive by a candidate which is not used must be reverted to the Hawaii election campaign fund.",,
