Identifier,State,Year,ContributionsToParties_Citation,IndividualToParty,IndividualToPartyLimit,IndividualToPartyLimit_Period,IndividualToPartyLimit_Max,IndividualToPartyLimit_Explained,CandToParty,CandToPartyLimit,CandToPartyLimit_Period,CandToPartyLimit_Max,CandToPartyLimit_Explained,PACToParty,PACToPartyLimit,PACToPartyLimit_Period,PACToPartyLimit_Max,PACToPartyLimit_Explained,CorpToParty,CorpToPartyLimit,CorpToPartyLimit_Period,CorpToPartyLimit_Max,CorpToPartyLimit_Explained,LaborToParty,LaborToPartyLimit,LaborToPartyLimit_Period,LaborToPartyLimit_Max,LaborToPartyLimit_Explained,LocalPToParty,LocalPToPartyLimit,LocalToPartyLimit_Period,LocalToPartyLimit_Max,LocalToPartyLimit_Explained,NationalPToParty,NationalPToPartyLimit,NationalPToPartyLimit_Period,NationalPToPartyLimit_Max,NationalPToPartyLimit_Explained,PartyLimitExemptions,PartyLimitExemptionsExplained,IndividualToLCC,IndividualToLCCLimit,IndividualToLCCLimit_Period,IndividualToLCCLimit_Max,IndividualToLCCLimit_Explained,CandToLCC,CandToLCCLimit,CandToLCCLimit_Period,CandToLCCLimit_Max,CandToLCCLimit_Explained,PACToLCC,PACToLCCLimit,PACToLCCLimit_Period,PACToLCCLimit_Max,PACToLCCLimit_Explained,CorpToLCC,CorpToLCCLimit,CorpToLCCLimit_Period,CorpToLCCLimit_Max,CorpToLCCLimit_Explained,LaborToLCC,LaborToLCCLimit,LaborToLCCLimit_Period,LaborToLCCLimit_Max,LaborToLCCLimit_Explained,LocalPToLCC,LocalPToLCCLimit,LocalPToLCCLimit_Period,LocalPToLCCLimit_Max,LocalPToLCCLimit_Explained,NationalPToLCC,NationalPToLCCLimit,NationalPToLCCLimit_Period,NationalPToLCCLimit_Max,NationalPToLCCLimit_Explained,LegCampaignCommLimit,LCCLimitExemptions,LCCLimitExemptionsExplained,DonorAggToPartyLimit,DonorAggToPartyLimit_Explained,PoliticalCommittees_Citation,IndividualToPAC,IndividualToPACLimit,IndividualToPACLimit_Period,IndividualToPACLimit_Max,IndividualToPACLimit_Explained,PACToPAC,PACToPACLimit,PACToPACLimit_Period,PACToPACLimit_Max,PACToPACLimit_Explained,CorpToPAC,CorpToPACLimit,CorpToPACLimit_Period,CorpToPACLimit_Max,CorpToPACLimit_Explained,LaborToPAC,LaborToPACLimit,LaborToPACLimit_Period,LaborToPACLimit_Max,LaborToPACLimit_Explained,StatePToPAC,StatePToPACLimit,StatePToPACLimit_Period,StatePToPACLimit_Max,StatePToPACLimit_Explained,LocalPToPAC,LocalPToPACLimit,LocalPToPACLimit_Period,LocalPToPACLimit_Max,LocalPToPACLimit_Explained,CandToPAC,CandToPACLimit,CandToPACLimit_Period,CandToPACLimit_Max,CandToPACLimit_Explained,DonorAggToPACLimit,DonorAggToPACLimit_Explained
"MA2012","MA",2012,"Chapter 55: § 7A.(2); Chapter 55: § 6; Chapter 55: § 8; Chapter 55: § 1","Limited",5000,"Per Year",10000,"$10,000 Max/Cycle for 2-year cycle, $20,000 for 4-year cycle","Limited",100,"Per Year",200,"$200 Max/Cycle for 2-year cycle, $4000 for 4-year cycle","Limited",5000,"Per Year",10000,"$10,000 Max/Cycle for 2-year cycle, $20,000 for 4-year cycle","Prohibited",,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,"Cannot locate speciific limits on party to party giving",,,,,"Cannot locate speciific limits on party to party giving","Yes","Yes",,,,,,,,,,,,,,,,,,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,,,,,,,,,"I am leaving the section related to contribution limits for Legislative Campaign Committees blank because the regulations are not clear as to what those limits are within the scope of the terminiology used.",,,"Chapter 55: § 7A.(3); Chapter 55: § 6; Chapter 55: § 8","Limited",500,"Per Year",1000,"$1,000 Max/Cycle for 2-year cycle, $2,000 for 4-year cycle","Limited",500,"Per Year",1000,"$1,000 Max/Cycle for 2-year cycle, $2,000 for 4-year cycle","Prohibited",,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,"Cannot locate speciific limits on party to PAC giving",,,,,"Cannot locate speciific limits on party to PAC giving","Prohibited",,,,,"No",
"MA2014","MA",2014,"Chapter 55: § 7A.(2); Chapter 55: § 6; Chapter 55: § 8; Chapter 55: § 1","Limited",5000,"Per Year",10000,"$10,000 Max/Cycle for 2-year cycle, $20,000 for 4-year cycle","Limited",100,"Per Year",200,"$200 Max/Cycle for 2-year cycle, $4000 for 4-year cycle","Limited",5000,"Per Year",10000,"$10,000 Max/Cycle for 2-year cycle, $20,000 for 4-year cycle","Prohibited",,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,"Cannot locate speciific limits on party to party giving",,,,,"Cannot locate speciific limits on party to party giving","Yes","Yes",,,,,,,,,,,,,,,,,,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,,,,,,,,,"I am leaving the section related to contribution limits for Legislative Campaign Committees blank because the regulations are not clear as to what those limits are within the scope of the terminiology used.",,,"Chapter 55: § 7A.(3); Chapter 55: § 6; Chapter 55: § 8","Limited",500,"Per Year",1000,"$1,000 Max/Cycle for 2-year cycle, $2,000 for 4-year cycle","Limited",500,"Per Year",1000,"$1,000 Max/Cycle for 2-year cycle, $2,000 for 4-year cycle","Prohibited",,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,"Cannot locate speciific limits on party to PAC giving",,,,,"Cannot locate speciific limits on party to PAC giving","Prohibited",,,,,"No",
"MA2016","MA",2016,"Chapter 55: § 7A.(2); Chapter 55: § 6; Chapter 55: § 8; Chapter 55: § 1","Limited",5000,"Per Year",10000,"$10,000 Max/Cycle for 2-year cycle, $20,000 for 4-year cycle","Limited",100,"Per Year",200,"$200 Max/Cycle for 2-year cycle, $4000 for 4-year cycle","Limited",5000,"Per Year",10000,"$10,000 Max/Cycle for 2-year cycle, $20,000 for 4-year cycle","Prohibited",,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,"Cannot locate speciific limits on party to party giving",,,,,"Cannot locate speciific limits on party to party giving","Yes","Yes",,,,,,,,,,,,,,,,,,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,,,,,,,,,"I am leaving the section related to contribution limits for Legislative Campaign Committees blank because the regulations are not clear as to what those limits are within the scope of the terminiology used.",,,"Chapter 55: § 7A.(3); Chapter 55: § 6; Chapter 55: § 8","Limited",500,"Per Year",1000,"$1,000 Max/Cycle for 2-year cycle, $2,000 for 4-year cycle","Limited",500,"Per Year",1000,"$1,000 Max/Cycle for 2-year cycle, $2,000 for 4-year cycle","Prohibited",,,,,,,,,"There do not appear to be any explicit statutes regulating contributions from Labor Unions",,,,,"Cannot locate speciific limits on party to PAC giving",,,,,"Cannot locate speciific limits on party to PAC giving","Prohibited",,,,,"No",
"MD1996","MD",1996,"Old Code: Md. Ann. Code. Art. 33 §§ 26-9(e)  (1957); Current Code: Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No",,"Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","Old Code: Md. Ann. Code. art. 33 §§ 26-9(e) (1957); Current Code: Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD1998","MD",1998,"Old Code: Md. Ann. Code. Art. 33 §§ 26-9(e)  (1957); Current Code: Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","Old Code: Md. Ann. Code. art. 33 §§ 26-9(e) (1957); Current Code: Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2000","MD",2000,"Old Code: Md. Ann. Code. Art. 33 §§ 26-9(e)  (1957); Current Code: Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","Old Code: Md. Ann. Code. art. 33 §§ 26-9(e) (1957); Current Code: Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2002","MD",2002,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2004","MD",2004,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2006","MD",2006,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2008","MD",2008,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2010","MD",2010,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2012","MD",2012,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2014","MD",2014,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"No","No","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Yes","No",,"Yes","$10,000 aggregate limit for all committees during an election cycle.","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §13-226","Limited",4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,"Limited",4000,"Per Election Cycle",4000,,"Limited",4000,"Per Election Cycle",4000,,"Unlimited",,"Per Election Cycle",,,"Unlimited",,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,"Yes","$10,000 aggregate limit for all committees during an election cycle."
"MD2016","MD",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ME1996","ME",1996,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME1998","ME",1998,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2000","ME",2000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2002","ME",2002,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2004","ME",2004,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2006","ME",2006,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2008","ME",2008,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2010","ME",2010,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2012","ME",2012,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2014","ME",2014,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"ME2016","ME",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MI1996","MI",1996," Mich. Comp. Laws §§ 169.252, 169.252a;  1976 Mich. Pub. Acts 1268","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,"1996  Mich. Comp. Laws § 169.252","Prohibited",,,," 1996 Mich. Comp. Laws § 169.252","Unlimited",,,,,"Unlimited",,,,,"No",,"Limited",20000,"Per Year",20000,"The language in the provision (169.252a) is a bit confusing. It says that the limit is per calendar year, but then says that the committee cannot accept more than this over a 2-year election cycle","Limited",20000,"Per Year",20000,,"Limited",20000,"Per Year",20000,,"Prohibited",,"Per Election Cycle",,,"Prohibited",,"Per Election Cycle",,,"Limited",20000,"Per Year",20000,,"Limited",20000,"Per Year",20000,,"No","No",,"No",," Mich. Comp. Laws § 169.252; 1976 Mich. Pub. Acts 1268","Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"MI1998","MI",1998," Mich. Comp. Laws §§ 169.252, 169.252a;  1976 Mich. Pub. Acts 1268","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Limited",20000,"Per Year",20000,"The language in the provision (169.252a) is a bit confusing. It says that the limit is per calendar year, but then says that the committee cannot accept more than this over a 2-year election cycle","Limited",20000,"Per Year",20000,,"Limited",20000,"Per Year",20000,,"Prohibited",,"Per Election Cycle",,,"Prohibited",,"Per Election Cycle",,,"Limited",20000,"Per Year",20000,,"Limited",20000,"Per Year",20000,,"No","No",,"No",," Mich. Comp. Laws § 169.252; 1976 Mich. Pub. Acts 1268","Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"MI2000","MI",2000," Mich. Comp. Laws §§ 169.252, 169.252a;  1976 Mich. Pub. Acts 1268","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Limited",20000,"Per Year",20000,"The language in the provision (169.252a) is a bit confusing. It says that the limit is per calendar year, but then says that the committee cannot accept more than this over a 2-year election cycle","Limited",20000,"Per Year",20000,,"Limited",20000,"Per Year",20000,,"Prohibited",,"Per Election Cycle",,,"Prohibited",,"Per Election Cycle",,,"Limited",20000,"Per Year",20000,,"Limited",20000,"Per Year",20000,,"No","No",,"No",," Mich. Comp. Laws § 169.252; 1976 Mich. Pub. Acts 1268","Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
