Identifier,State,Year,RefundOrTaxCreditOrTaxDeduction,RefundOrTaxCreditOrTaxDeduction_Citation,RefundOrTaxCreditFormula,RefundOrTaxCreditMax,EligibleContributionRecipients,EligibleToClaim_NoTaxOwed,EligibleToClaim_Deduction,EligibleToClaim_Other,EligibleToClaim_Other_Explained,Agency_Disclosure,Agency_Disclosure_Citation,Agency_Enforcement,Agency_Enforcement_Citation,Agency_PublicFinancing,Agency_PublicFinancing_Citation,Agency_RefundCreditDeduction,Agency_RefundCreditDeduction_Citation,Agency_Lobbying,Agency_Lobbying_Citation,Agency_DoingBusiness,Agency_DoingBusiness_Citation,Agency_FinancialDisclosureEthics,Agency_FinancialDisclosureEthics_Citation,Agency_Other,Agency_Other_Citation,OtherProvisions,OtherProvisions_Explained
"GA2008","GA",2008,"None",,,,,,,,,"State Ethics Commission","Ga. Code Ann. § 21-2-50","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","N/A","N/A","N/A","N/A","State Election Commission; Election Superintendents of each county involved; and Municipal Clerks","Ga. Code Ann. § 21-5-73(c)(2)","State Election Board","Ga. Code Ann. § 21-2-33.1","State Election Board","Ga. Code Ann. § 21-2-33.1",,,"No","N/A"
"GA2010","GA",2010,"None",,,,,,,,,"State Ethics Commission","Ga. Code Ann. § 21-2-50","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","N/A","N/A","N/A","N/A","State Election Commission; Election Superintendents of each county involved; and Municipal Clerks","Ga. Code Ann. § 21-5-73(c)(2)","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","State Election Board","Ga. Code Ann. § 21-2-33.1",,,"No","N/A"
"GA2012","GA",2012,"None",,,,,,,,,"The Georgia Government Transparency and Campaign Finance Commission","Ga. Code Ann. § 21-2-50","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","N/A","N/A","N/A","N/A","State Election Commission; Election Superintendents of each county involved; and Municipal Clerks","Ga. Code Ann. § 21-5-73(c)(2)","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","State Election Board","Ga. Code Ann. § 21-2-33.1",,,"No","N/A"
"GA2014","GA",2014,"None",,,,,,,,,"The Georgia Government Transparency and Campaign Finance Commission","Ga. Code Ann. § 21-2-50","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","N/A","N/A","N/A","N/A","State Election Commission; Election Superintendents of each county involved; and Municipal Clerks","Ga. Code Ann. § 21-5-73(c)(2)","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","State Election Board","Ga. Code Ann. § 21-2-33.1",,,"No","N/A"
"GA2016","GA",2016,"None",,,,,,,,,"Secretary of State","Ga. Code Ann. § 21-2-51","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","N/A","N/A","N/A","N/A","State Election Commission; Election Superintendents of each county involved; and Municipal Clerks","Ga. Code Ann. § 21-5-73(c)(2)","State Election Board; Attorney General","Ga. Code Ann. § 21-2-33.1","State Election Board","Ga. Code Ann. § 21-2-33.1",,,"No","N/A"
"GA2018","GA",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HI1996","HI",1996,"Tax Deduction","Historic Code: 1995 Haw. Laws Ch.10 § 3; 1991 Haw. Laws. Ch. 112  § 1 ; Current Code: Haw. Rev. Stat. § 235-7; 235-102.5;","full credit","1,000 in aggregate; not more than $250 per candidate. Separate $250 per party committee limit.","Only on contributions to candidates that agree to expenditure limitation; Qualified party committees.","Yes","Yes","No","N/A","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Committee","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Department of Taxation","Historic Code: 1995 Haw. Laws Ch.66 § 2; Current Code: Haw. Rev. Stat. §  231-3","NA",,"NA",,"Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","NA",,"Yes","It appears that candidate committees may accept unlimited loans from individuals - but, without clear regulations mandating that these loans ever be paid back. This opens what appears to be a loophole for unlimited individual ""contributions"" to candidate committees."
"HI1998","HI",1998,"Tax Deduction","Historic Code: 1995 Haw. Laws Ch.10 § 3; 1991 Haw. Laws. Ch. 112  § 1 ; Current Code: Haw. Rev. Stat. § 235-7; 235-102.5;","full credit","1,000 in aggregate; not more than $250 per candidate.","Only on contributions to candidates that agree to expenditure limitation;","Yes","Yes","No","N/A","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Committee","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Department of Taxation","Historic Code: 1995 Haw. Laws Ch.66 § 2; Current Code: Haw. Rev. Stat. §  231-3","NA",,"NA",,"Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","NA",,"Yes","A candidate or candidate’s committee may receive and accept loans in an aggregate amount not to
exceed $10,000 during an election period, provided that if the $10,000 limit is reached, the candidate or
candidate’s committee shall be prohibited from receiving or accepting any other loans until the $10,000
is repaid in full by the candidate or candidate’s committee."
"HI2000","HI",2000,"Tax Deduction","Historic Code: 1995 Haw. Laws Ch.10 § 3; 1991 Haw. Laws. Ch. 112  § 1 ; Current Code: Haw. Rev. Stat. § 235-7; 235-102.5;","full credit","1,000 in aggregate; not more than $250 per candidate.","Only on contributions to candidates that agree to expenditure limitation;","Yes","Yes","No","N/A","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Committee","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Department of Taxation","Historic Code: 1995 Haw. Laws Ch.66 § 2; Current Code: Haw. Rev. Stat. §  231-3","NA",,"NA",,"Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","NA",,"Yes","A candidate or candidate’s committee may receive and accept loans in an aggregate amount not to
exceed $10,000 during an election period, provided that if the $10,000 limit is reached, the candidate or
candidate’s committee shall be prohibited from receiving or accepting any other loans until the $10,000
is repaid in full by the candidate or candidate’s committee."
"HI2002","HI",2002,"Tax Deduction","Historic Code: 1995 Haw. Laws Ch.10 § 3; 1991 Haw. Laws. Ch. 112  § 1 ; Current Code: Haw. Rev. Stat. § 235-7; 235-102.5;","full credit","1,000 in aggregate; not more than $250 per candidate.","Only on contributions to candidates that agree to expenditure limitation;","Yes","Yes","No","N/A","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Committee","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Department of Taxation","Historic Code: 1995 Haw. Laws Ch.66 § 2; Current Code: Haw. Rev. Stat. §  231-3","NA",,"NA",,"Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","NA",,"Yes","A candidate or candidate’s committee may receive and accept loans in an aggregate amount not to
exceed $10,000 during an election period, provided that if the $10,000 limit is reached, the candidate or
candidate’s committee shall be prohibited from receiving or accepting any other loans until the $10,000
is repaid in full by the candidate or candidate’s committee."
"MD2006","MD",2006,"None",,,,,,,,,"State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §2-101 et. Seq.","State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §13-605 et. Seq.","State Comptroller of the Treasury & State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §§ 2-101 et seq. and 15-101 et seq.","N/A","N/A","N/A",,"State Board of Elections","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §14-101 et. Seq.","N/A",,,,"No","N/A"
"MD2008","MD",2008,"None",,,,,,,,,"State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §2-101 et. Seq.","State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §13-605 et. Seq.","State Comptroller of the Treasury & State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §§ 2-101 et seq. and 15-101 et seq.","N/A","N/A","N/A",,"State Board of Elections","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §14-101 et. Seq.","N/A",,,,"No","N/A"
"MD2010","MD",2010,"None",,,,,,,,,"State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §2-101 et. Seq.","State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §13-605 et. Seq.","State Comptroller of the Treasury & State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §§ 2-101 et seq. and 15-101 et seq.","N/A","N/A","N/A",,"State Board of Elections","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §14-101 et. Seq.","N/A",,,,"No","N/A"
"MD2012","MD",2012,"None",,,,,,,,,"State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §2-101 et. Seq.","State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §13-605 et. Seq.","State Comptroller of the Treasury & State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §§ 2-101 et seq. and 15-101 et seq.","N/A","N/A","N/A",,"State Board of Elections","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §14-101 et. Seq.","N/A",,,,"No","N/A"
"MD2014","MD",2014,"None",,,,,,,,,"State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §2-101 et. Seq.","State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §13-605 et. Seq.","State Comptroller of the Treasury & State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §§ 2-101 et seq. and 15-101 et seq.","N/A","N/A","N/A",,"State Board of Elections","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §14-101 et. Seq.","N/A",,,,"No","N/A"
"MD2016","MD",2016,"None",,,,,,,,,"State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §2-101 et. Seq.","State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §13-605 et. Seq.","State Comptroller of the Treasury & State Board of Elections","2002 Md. Laws, Chap. 291, §4;  Md. Election Law Code Ann. §§ 2-101 et seq. and 15-101 et seq.","N/A","N/A","N/A",,"State Board of Elections","2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §14-101 et. Seq.","N/A",,,,"No","N/A"
"MD2018","MD",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ME1996","ME",1996,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State","21-A M.R.S. § 1020-A"," The Secretary of State","21-A M.R.S. § 1020-A","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME1998","ME",1998,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State","21-A M.R.S. § 1020-A"," The Secretary of State","21-A M.R.S. § 1020-A","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2000","ME",2000,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2002","ME",2002,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2004","ME",2004,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State; Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2006","ME",2006,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State; Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2008","ME",2008,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State; Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2010","ME",2010,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State; Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2012","ME",2012,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State; Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2014","ME",2014,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State; Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"PA2002","PA",2002,"None",,,,,,,,,"Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, § 1640 Current stat code: 25 Pa. Stat. Ann. § 3266; [P.S.] § 3260.; [P.S.] § 3241.","Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, No. 320, § 912.2;  1980, July 11, P.L. 591, No. 127, § 6 Current stat code: 25 Pa. Stat. Ann. §§ 2872.2(c); 3241(j); [P.S.] § 3260.; [P.S.] § 2872.2.;  [P.S.] § 3241.","N/A","N/A","N/A","N/A","NA",,"Secretary of the Commonwealth","[P.S.] § 3260a.","NA",,"Attorney General and District Attorneys","§ 3260b.","Yes","§ 3260a. – provides unique reporting requirements for companies doing business with the state."
"PA2004","PA",2004,"None",,,,,,,,,"Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, § 1640 Current stat code: 25 Pa. Stat. Ann. § 3266; [P.S.] § 3260.; [P.S.] § 3241.","Secretary of the Commonwealth; County Board of Elections; Attorney General","Historic Session law: 1937, June 3, P.L. 1333, No. 320, § 912.2;  1980, July 11, P.L. 591, No. 127, § 6 Current stat code: 25 Pa. Stat. Ann. §§ 2872.2(c); 3241(j); [P.S.] § 3260.; [P.S.] § 2872.2.;  [P.S.] § 3241.","N/A","N/A","N/A","N/A","NA",,"Secretary of the Commonwealth","[P.S.] § 3260a.","NA",,"Attorney General and District Attorneys","§ 3260b.","Yes","§ 3260a. – provides unique reporting requirements for companies doing business with the state."
"PA2006","PA",2006,"None",,,,,,,,,"Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, § 1640 Current stat code: 25 Pa. Stat. Ann. § 3266; [P.S.] § 3260.; [P.S.] § 3241.","Secretary of the Commonwealth; County Board of Elections; Attorney General","Historic Session law: 1937, June 3, P.L. 1333, No. 320, § 912.2;  1980, July 11, P.L. 591, No. 127, § 6 Current stat code: 25 Pa. Stat. Ann. §§ 2872.2(c); 3241(j); [P.S.] § 3260.; [P.S.] § 2872.2.;  [P.S.] § 3241.","N/A","N/A","N/A","N/A","NA",,"Secretary of the Commonwealth","[P.S.] § 3260a.","NA",,"Attorney General and District Attorneys","§ 3260b.","Yes","§ 3260a. – provides unique reporting requirements for companies doing business with the state."
"PA2008","PA",2008,"None",,,,,,,,,"Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, § 1640 Current stat code: 25 Pa. Stat. Ann. § 3266; [P.S.] § 3260.; [P.S.] § 3241.","Secretary of the Commonwealth; County Board of Elections; Attorney General","Historic Session law: 1937, June 3, P.L. 1333, No. 320, § 912.2;  1980, July 11, P.L. 591, No. 127, § 6 Current stat code: 25 Pa. Stat. Ann. §§ 2872.2(c); 3241(j); [P.S.] § 3260.; [P.S.] § 2872.2.;  [P.S.] § 3241.","N/A","N/A","N/A","N/A","NA",,"Secretary of the Commonwealth","[P.S.] § 3260a.","NA",,"Attorney General and District Attorneys","§ 3260b.","Yes","§ 3260a. – provides unique reporting requirements for companies doing business with the state."
"PA2010","PA",2010,"None",,,,,,,,,"Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, § 1640 Current stat code: 25 Pa. Stat. Ann. § 3266; [P.S.] § 3260.; [P.S.] § 3241.","Secretary of the Commonwealth; County Board of Elections; Attorney General","Historic Session law: 1937, June 3, P.L. 1333, No. 320, § 912.2;  1980, July 11, P.L. 591, No. 127, § 6 Current stat code: 25 Pa. Stat. Ann. §§ 2872.2(c); 3241(j); [P.S.] § 3260.; [P.S.] § 2872.2.;  [P.S.] § 3241.","N/A","N/A","N/A","N/A","NA",,"Secretary of the Commonwealth","[P.S.] § 3260a.","NA",,"Attorney General and District Attorneys","§ 3260b.","Yes","§ 3260a. – provides unique reporting requirements for companies doing business with the state."
"PA2012","PA",2012,"None",,,,,,,,,"Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, § 1640 Current stat code: 25 Pa. Stat. Ann. § 3266; [P.S.] § 3260.; [P.S.] § 3241.","Secretary of the Commonwealth; County Board of Elections; Attorney General","Historic Session law: 1937, June 3, P.L. 1333, No. 320, § 912.2;  1980, July 11, P.L. 591, No. 127, § 6 Current stat code: 25 Pa. Stat. Ann. §§ 2872.2(c); 3241(j); [P.S.] § 3260.; [P.S.] § 2872.2.;  [P.S.] § 3241.","N/A","N/A","N/A","N/A","NA",,"Secretary of the Commonwealth","[P.S.] § 3260a.","NA",,"Attorney General and District Attorneys","§ 3260b.","Yes","§ 3260a. – provides unique reporting requirements for companies doing business with the state."
"PA2014","PA",2014,"None",,,,,,,,,"Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, § 1640 Current stat code: 25 Pa. Stat. Ann. § 3266; [P.S.] § 3260.; [P.S.] § 3241.","Secretary of the Commonwealth; County Board of Elections; Attorney General","Historic Session law: 1937, June 3, P.L. 1333, No. 320, § 912.2;  1980, July 11, P.L. 591, No. 127, § 6 Current stat code: 25 Pa. Stat. Ann. §§ 2872.2(c); 3241(j); [P.S.] § 3260.; [P.S.] § 2872.2.;  [P.S.] § 3241.","N/A","N/A","N/A","N/A","NA",,"Secretary of the Commonwealth","[P.S.] § 3260a.","NA",,"Attorney General and District Attorneys","§ 3260b.","Yes","§ 3260a. – provides unique reporting requirements for companies doing business with the state."
"PA2016","PA",2016,"None",,,,,,,,,"Secretary of the Commonwealth & County Board of Elections","Historic Session law: 1937, June 3, P.L. 1333, § 1640 Current stat code: 25 Pa. Stat. Ann. § 3266; [P.S.] § 3260.; [P.S.] § 3241.","Secretary of the Commonwealth; County Board of Elections; Attorney General","Historic Session law: 1937, June 3, P.L. 1333, No. 320, § 912.2;  1980, July 11, P.L. 591, No. 127, § 6 Current stat code: 25 Pa. Stat. Ann. §§ 2872.2(c); 3241(j); [P.S.] § 3260.; [P.S.] § 2872.2.;  [P.S.] § 3241.","N/A","N/A","N/A","N/A","NA",,"Secretary of the Commonwealth","[P.S.] § 3260a.","NA",,"Attorney General and District Attorneys","§ 3260b.","Yes","§ 3260a. – provides unique reporting requirements for companies doing business with the state."
"PA2018","PA",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RI1996","RI",1996,"None",,,,,,,,,"State Board of Elections","R.I. Gen. Laws § 17-25-5.;  § 17-25-5.1.;  § 17-25-7(a);  § 17-25-8.;  § 17-25-8.1;  § 17-25-9.;  § 17-25-11.;  § 17-25-15.;  § 17-25.1-1.;  § 17-24-4.(a),©;  § 17-25-27.;  § 17-25-28.","State Board of Elections","R.I. Gen. Laws § 17-25-5.;  § 17-25-5.1.;  § 17-25-7(a);  § 17-25-8.;  § 17-25-8.1;  § 17-25-9.;  § 17-25-11.;  § 17-25-15.;  § 17-25.1-1.;  § 17-24-4.(a),©;  § 17-25-27.;  § 17-25-28.","State Board of Elections","R.I. Gen. Laws § 17-25-5.;  § 17-25-5.1.;  § 17-25-7(a);  § 17-25-8.;  § 17-25-8.1;  § 17-25-9.;  § 17-25-11.;  § 17-25-15.;  § 17-25.1-1.;  § 17-24-4.(a),©;  § 17-25-27.;  § 17-25-28.","N/A","N/A","Secretary of state","22-10-10",,,"Rhode Island Ethics Commision","34-14-16",,,"No","N/A"
"RI1998","RI",1998,"None",,,,,,,,,"State Board of Elections","R.I. Gen. Laws § 17-25-5.;  § 17-25-5.1.;  § 17-25-7(a);  § 17-25-8.;  § 17-25-8.1;  § 17-25-9.;  § 17-25-11.;  § 17-25-15.;  § 17-25.1-1.;  § 17-24-4.(a),©;  § 17-25-27.;  § 17-25-28.","State Board of Elections","R.I. Gen. Laws § 17-25-5.;  § 17-25-5.1.;  § 17-25-7(a);  § 17-25-8.;  § 17-25-8.1;  § 17-25-9.;  § 17-25-11.;  § 17-25-15.;  § 17-25.1-1.;  § 17-24-4.(a),©;  § 17-25-27.;  § 17-25-28.","State Board of Elections","R.I. Gen. Laws § 17-25-5.;  § 17-25-5.1.;  § 17-25-7(a);  § 17-25-8.;  § 17-25-8.1;  § 17-25-9.;  § 17-25-11.;  § 17-25-15.;  § 17-25.1-1.;  § 17-24-4.(a),©;  § 17-25-27.;  § 17-25-28.","N/A","N/A","Secretary of state","22-10-10",,,"Rhode Island Ethics Commision","34-14-16",,,"No","N/A"
"HI2004","HI",2004,"Tax Deduction","Historic Code: 1995 Haw. Laws Ch.10 § 3; 1991 Haw. Laws. Ch. 112  § 1 ; Current Code: Haw. Rev. Stat. § 235-7; 235-102.5;","full credit","1,000 in aggregate; not more than $250 per candidate.","Only on contributions to candidates that agree to expenditure limitation;","Yes","Yes","No","N/A","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Committee","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Department of Taxation","Historic Code: 1995 Haw. Laws Ch.66 § 2; Current Code: Haw. Rev. Stat. §  231-3","NA",,"NA",,"Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","NA",,"Yes","A candidate or candidate’s committee may receive and accept loans in an aggregate amount not to
exceed $10,000 during an election period, provided that if the $10,000 limit is reached, the candidate or
candidate’s committee shall be prohibited from receiving or accepting any other loans until the $10,000
is repaid in full by the candidate or candidate’s committee."
"HI2006","HI",2006,"Tax Deduction","Historic Code: 1995 Haw. Laws Ch.10 § 3; 1991 Haw. Laws. Ch. 112  § 1 ; Current Code: Haw. Rev. Stat. § 235-7; 235-102.5;","full credit","1,000 in aggregate; not more than $250 per candidate.","Only on contributions to candidates that agree to expenditure limitation;","Yes","Yes","No","N/A","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Committee","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","Department of Taxation","Historic Code: 1995 Haw. Laws Ch.66 § 2; Current Code: Haw. Rev. Stat. §  231-3","NA",,"NA",,"Campaign Spending Commission","Historic Code: 1995 Haw. Laws Ch.10 § 2; Current Code: Haw. Rev. Stat. §  11-193","NA",,"Yes","A candidate or candidate’s committee may receive and accept loans in an aggregate amount not to
exceed $10,000 during an election period, provided that if the $10,000 limit is reached, the candidate or
candidate’s committee shall be prohibited from receiving or accepting any other loans until the $10,000
is repaid in full by the candidate or candidate’s committee."
