Identifier,State,Year,ContribLimit_Citation,COLA,COLA_Which,COLA_BaseYear,Adjustment_Other,Adjustment_Other_Explained,Adjustment_Other_BaseYear,Primary_General_Difference,Primary_General_Difference_Explained,IndividualToCand,IndividualToCandLimit_H,IndividualToCandLimit_H_Period,IndividualToCandLimit_H_Max,IndividualToCandLimit_H_Explained,IndividualToCandLimit_S,IndividualToCandLimit_S_Period,IndividualToCandLimit_S_Max,IndividualToCandLimit_S_Explained,IndividualToCandLimit_G,IndividualToCandLimit_G_Period,IndividualToCandLimit_G_Max,IndividualToCandLimit_G_Explained,PACToCand,PACToCandLimit_H,PACToCandLimit_H_Period,PACToCandLimit_H_Max,PACToCandLimit_H_Explained,PACToCandLimit_S,PACToCandLimit_S_Period,PACToCandLimit_S_Max,PACToCandLimit_S_Explained,PACToCandLimit_G,PACToCandLimit_G_Period,PACToCandLimit_G_Max,PACToCandLimit_G_Explained,SpecialPACToCand,SpecialPACToCandLimit_H,SpecialPACToCandLimit_H_Period,SpecialPACToCandLimit_H_Max,SpecialPACToCandLimit_H_Explained,SpecialPACToCandLimit_S,SpecialPACToCandLimit_S_Period,SpecialPACToCandLimit_S_Max,SpecialPACToCandLimit_S_Explained,SpecialPACToCandLimit_G,SpecialPACToCandLimit_G_Period,SpecialPACToCandLimit_G_Max,SpecialPACToCandLimit_G_Explained,CorpToCand,CorpToCandLimit_H,CorpToCandLimit_H_Period,CorpToCandLimit_H_Max,CorpToCandLimit_H_Explained,CorpToCandLimit_S,CorpToCandLimit_S_Period,CorpToCandLimit_S_Max,CorpToCandLimit_S_Explained,CorpToCandLimit_G,CorpToCandLimit_G_Period,CorpToCandLimit_G_Max,CorpToCandLimit_G_Explained,LaborToCand,LaborToCandLimit_H,LaborToCandLimit_H_Period,LaborToCandLimit_H_Max,LaborToCandLimit_H_Explained,LaborToCandLimit_S,LaborToCandLimit_S_Period,LaborToCandLimit_S_Max,LaborToCandLimit_S_Explained,LaborToCandLimit_G,LaborToCandLimit_G_Period,LaborToCandLimit_G_Max,LaborToCandLimit_G_Explained,StatePToCand,StatePToCandLimit_H,StatePToCandLimit_H_Period,StatePToCandLimit_H_Max,StatePToCandLimit_H_Explained,StatePToCandLimit_S,StatePToCandLimit_S_Period,StatePToCandLimit_S_Max,StatePToCandLimit_S_Explained,StatePToCandLimit_G,StatePToCandLimit_G_Period,StatePToCandLimit_G_Max,StatePToCandLimit_G_Explained,LocalPToCand,LocalPToCandLimit_H,LocalPToCandLimit_H_Period,LocalPToCandLimit_H_Max,LocalPToCandLimit_H_Explained,LocalPToCandLimit_S,LocalPToCandLimit_S_Period,LocalPToCandLimit_S_Max,LocalPToCandLimit_S_Explained,LocalPToCandLimit_G,LocalPToCandLimit_G_Period,LocalPToCandLimit_G_Max,LocalPToCandLimit_G_Explained,OtherCandToCand,OtherToCandLimit_H,OtherToCandLimit_H_Period,OtherToCandLimit_H_Max,OtherToCandLimit_H_Explained,OtherToCandLimit_S,OtherToCandLimit_S_Period,OtherToCandLimit_S_Max,OtherToCandLimit_S_Explained,OtherToCandLimit_G,OtherToCandLimit_G_Period,OtherToCandLimit_G_Max,OtherToCandLimit_G_Explained,AggCandLimit,AggCandLimitExplain,DoingBusinessLimits,DoingBusinessMinimum,DoingBusinessDonors,DoingBusinessContribLimit,DoingBusinessCandidates,DoingBusinessParties,DoingBusinessOther,Lobbyist_Limits,Lobbyist_Limits_Explain,CandLimitExemptions,CandLimitExemptionsExplained,SpecialConditionsChangeLimits,SpecialConditionsLimitsExplained
"MN2004","MN",2004,"Session Law: MN Laws 1974, c. 470, § 1; Current Code: MN ST §10A.27(1)","No",,,"No",,,"No",,"Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election yar","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Limited",500,"Other",600,"10A.12: Unions may est. ""Political Funds"" to give to candidates, these fall under candidate contribution limits. Via 211A.01 (3)",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",5000,"Other",6000,"Limit is $5000 in an election year and $1000 in a non-election year",5000,"Other",8000,"Limit is $5000 in an election year and $1000 in a non-election year",20000,"Other",35000,"Limit is $20000 in an election year and $5000 in a non-election year","Limited","5000","Other","6000","Limit is $5000 in an election year and $1000 in a non-election year","5000","Other","8000","Limit is $5000 in an election year and $1000 in a non-election year","20000","Other","35000","Limit is $20000 in an election year and $5000 in a non-election year","Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","Section 211A.14 Contributions and solicitations during legislative session;Section 10A.071 Certain Gifts by Lobbyists and Principals Prohibited","No",,"Yes","(1) 	If candidate accepts public subsidy, a limitation is placed on how much that candidate can contribute to his or her own campaign. That limit is 10x what an individual can spend on that candidate pursuant to the contribution limitations above. MN ST 10A.27(10).

(2)A candidate shall not permit the candidate's principal campaign committee to accept a contribution from a political committee other than a political party, a political fund, a lobbyist, or a large giver, if the contribution will cause the aggregate contributions from those types of contributors to exceed an amount equal to 20 percent of the expenditure limits for the office sought by the candidate. For purposes of this subdivision, “large giver” means an individual, other than the candidate, who contributes an amount that is more than $100 and more than one-half the amount an individual may contribute. MN ST 10A.27(11)."
"MN2006","MN",2006,"Session Law: MN Laws 1974, c. 470, § 1; Current Code: MN ST §10A.27(1)","No",,,"No",,,"No",,"Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election yar","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Limited",500,"Other",600,"10A.12: Unions may est. ""Political Funds"" to give to candidates, these fall under candidate contribution limits. Via 211A.01 (3)",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",5000,"Other",6000,"Limit is $5000 in an election year and $1000 in a non-election year",5000,"Other",8000,"Limit is $5000 in an election year and $1000 in a non-election year",20000,"Other",35000,"Limit is $20000 in an election year and $5000 in a non-election year","Limited","5000","Other","6000","Limit is $5000 in an election year and $1000 in a non-election year","5000","Other","8000","Limit is $5000 in an election year and $1000 in a non-election year","20000","Other","35000","Limit is $20000 in an election year and $5000 in a non-election year","Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","Section 211A.14 Contributions and solicitations during legislative session;Section 10A.071 Certain Gifts by Lobbyists and Principals Prohibited","No",,"Yes","(1) 	If candidate accepts public subsidy, a limitation is placed on how much that candidate can contribute to his or her own campaign. That limit is 10x what an individual can spend on that candidate pursuant to the contribution limitations above. MN ST 10A.27(10)

(2)A candidate shall not permit the candidate's principal campaign committee to accept a contribution from a political committee other than a political party, a political fund, a lobbyist, or a large giver, if the contribution will cause the aggregate contributions from those types of contributors to exceed an amount equal to 20 percent of the expenditure limits for the office sought by the candidate. For purposes of this subdivision, “large giver” means an individual, other than the candidate, who contributes an amount that is more than $100 and more than one-half the amount an individual may contribute. MN ST 10A.27(11)."
"MN2008","MN",2008,"Session Law: MN Laws 1974, c. 470, § 1; Current Code: MN ST §10A.27(1)","No",,,"No",,,"No",,"Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election yar","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Limited",500,"Other",600,"10A.12: Unions may est. ""Political Funds"" to give to candidates, these fall under candidate contribution limits. Via 211A.01 (3)",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",5000,"Other",6000,"Limit is $5000 in an election year and $1000 in a non-election year",5000,"Other",8000,"Limit is $5000 in an election year and $1000 in a non-election year",20000,"Other",35000,"Limit is $20000 in an election year and $5000 in a non-election year","Limited","5000","Other","6000","Limit is $5000 in an election year and $1000 in a non-election year","5000","Other","8000","Limit is $5000 in an election year and $1000 in a non-election year","20000","Other","35000","Limit is $20000 in an election year and $5000 in a non-election year","Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","Section 211A.14 Contributions and solicitations during legislative session;Section 10A.071 Certain Gifts by Lobbyists and Principals Prohibited","No",,"Yes","(1) 	If candidate accepts public subsidy, a limitation is placed on how much that candidate can contribute to his or her own campaign. That limit is 10x what an individual can spend on that candidate pursuant to the contribution limitations above. MN ST 10A.27(10)

(2)A candidate shall not permit the candidate's principal campaign committee to accept a contribution from a political committee other than a political party, a political fund, a lobbyist, or a large giver, if the contribution will cause the aggregate contributions from those types of contributors to exceed an amount equal to 20 percent of the expenditure limits for the office sought by the candidate. For purposes of this subdivision, “large giver” means an individual, other than the candidate, who contributes an amount that is more than $100 and more than one-half the amount an individual may contribute. MN ST 10A.27(11)."
"MN2010","MN",2010,"Session Law: MN Laws 1974, c. 470, § 1; Current Code: MN ST §10A.27(1)","No",,,"No",,,"No",,"Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election yar","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Limited",500,"Other",600,"10A.12: Unions may est. ""Political Funds"" to give to candidates, these fall under candidate contribution limits. Via 211A.01 (3)",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",5000,"Other",6000,"Limit is $5000 in an election year and $1000 in a non-election year",5000,"Other",6000,"Limit is $5000 in an election year and $1000 in a non-election year",20000,"Other",35000,"Limit is $20000 in an election year and $5000 in a non-election year","Limited","5000","Other","6000","Limit is $5000 in an election year and $1000 in a non-election year","5000","Other","6000","Limit is $5000 in an election year and $1000 in a non-election year","20000","Other","35000","Limit is $20000 in an election year and $5000 in a non-election year","Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","Section 211A.14 Contributions and solicitations during legislative session;Section 10A.071 Certain Gifts by Lobbyists and Principals Prohibited","No",,"Yes","(1) 	If candidate accepts public subsidy, a limitation is placed on how much that candidate can contribute to his or her own campaign. That limit is 10x what an individual can spend on that candidate pursuant to the contribution limitations above. MN ST 10A.27(10)

(2)A candidate shall not permit the candidate's principal campaign committee to accept a contribution from a political committee other than a political party, a political fund, a lobbyist, or a large giver, if the contribution will cause the aggregate contributions from those types of contributors to exceed an amount equal to 20 percent of the expenditure limits for the office sought by the candidate. For purposes of this subdivision, “large giver” means an individual, other than the candidate, who contributes an amount that is more than $100 and more than one-half the amount an individual may contribute. MN ST 10A.27(11)."
"MN2012","MN",2012,"Session Law: MN Laws 1974, c. 470, § 1; Current Code: MN ST §10A.27(1)","No",,,"No",,,"No",,"Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",600,"Two yr cycle every 10 yrs. Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",600,"Two yr cycle every 10 yrs. Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election yar","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Limited",500,"Other",600,"10A.12: Unions may est. ""Political Funds"" to give to candidates, these fall under candidate contribution limits. Via 211A.01 (3)",500,"Other",600,"(Two yr trm this cycle) Limit is $500 in an election year and $100 in a non-election year",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",5000,"Other",6000,"Limit is $5000 in an election year and $1000 in a non-election year",5000,"Other",8000,"Limit is $5000 in an election year and $1000 in a non-election year",20000,"Other",35000,"Limit is $20000 in an election year and $5000 in a non-election year","Limited","5000","Other","6000","Limit is $5000 in an election year and $1000 in a non-election year","5000","Other","8000","Limit is $5000 in an election year and $1000 in a non-election year","20000","Other","35000","Limit is $20000 in an election year and $5000 in a non-election year","Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","Section 211A.14 Contributions and solicitations during legislative session;Section 10A.071 Certain Gifts by Lobbyists and Principals Prohibited","No",,"Yes","(1) 	If candidate accepts public subsidy, a limitation is placed on how much that candidate can contribute to his or her own campaign. That limit is 10x what an individual can spend on that candidate pursuant to the contribution limitations above. MN ST 10A.27(10)

(2)A candidate shall not permit the candidate's principal campaign committee to accept a contribution from a political committee other than a political party, a political fund, a lobbyist, or a large giver, if the contribution will cause the aggregate contributions from those types of contributors to exceed an amount equal to 20 percent of the expenditure limits for the office sought by the candidate. For purposes of this subdivision, “large giver” means an individual, other than the candidate, who contributes an amount that is more than $100 and more than one-half the amount an individual may contribute. MN ST 10A.27(11)."
"MN2014","MN",2014,"Session Law: MN Laws 1974, c. 470, § 1; Current Code: MN ST §10A.27(1)","No",,,"No",,,"No",,"Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election yar","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Limited",500,"Other",600,"10A.12: Unions may est. ""Political Funds"" to give to candidates, these fall under candidate contribution limits. Via 211A.01 (3)",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",5000,"Other",6000,"Limit is $5000 in an election year and $1000 in a non-election year",5000,"Other",8000,"Limit is $5000 in an election year and $1000 in a non-election year",20000,"Other",35000,"Limit is $20000 in an election year and $5000 in a non-election year","Limited","5000","Other","6000","Limit is $5000 in an election year and $1000 in a non-election year","5000","Other","8000","Limit is $5000 in an election year and $1000 in a non-election year","20000","Other","35000","Limit is $20000 in an election year and $5000 in a non-election year","Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","Section 211A.14 Contributions and solicitations during legislative session;Section 10A.071 Certain Gifts by Lobbyists and Principals Prohibited","No",,"Yes","(1) 	If candidate accepts public subsidy, a limitation is placed on how much that candidate can contribute to his or her own campaign. That limit is 10x what an individual can spend on that candidate pursuant to the contribution limitations above. MN ST 10A.27(10)

(2)A candidate shall not permit the candidate's principal campaign committee to accept a contribution from a political committee other than a political party, a political fund, a lobbyist, or a large giver, if the contribution will cause the aggregate contributions from those types of contributors to exceed an amount equal to 20 percent of the expenditure limits for the office sought by the candidate. For purposes of this subdivision, “large giver” means an individual, other than the candidate, who contributes an amount that is more than $100 and more than one-half the amount an individual may contribute. MN ST 10A.27(11)."
"MN2016","MN",2016,"Session Law: MN Laws 1974, c. 470, § 1; Current Code: MN ST §10A.27(1)","No",,,"No",,,"No",,"Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",500,"Other",600,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year; Candidates in territory with less than 100,000 people is reduced to $300/$100.",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election yar","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Limited",500,"Other",600,"10A.12: Unions may est. ""Political Funds"" to give to candidates, these fall under candidate contribution limits. Via 211A.01 (3)",500,"Other",800,"Limit is $500 in an election year and $100 in a non-election year",2000,"Other",3500,"Limit is $2000 in an election year and $500 in a non-election year","Limited",5000,"Other",6000,"Limit is $5000 in an election year and $1000 in a non-election year",5000,"Other",8000,"Limit is $5000 in an election year and $1000 in a non-election year",20000,"Other",35000,"Limit is $20000 in an election year and $5000 in a non-election year","Limited","5000","Other","6000","Limit is $5000 in an election year and $1000 in a non-election year","5000","Other","8000","Limit is $5000 in an election year and $1000 in a non-election year","20000","Other","35000","Limit is $20000 in an election year and $5000 in a non-election year","Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","Section 211A.14 Contributions and solicitations during legislative session;Section 10A.071 Certain Gifts by Lobbyists and Principals Prohibited","No",,"Yes","(1) 	If candidate accepts public subsidy, a limitation is placed on how much that candidate can contribute to his or her own campaign. That limit is 10x what an individual can spend on that candidate pursuant to the contribution limitations above. MN ST 10A.27(10)

(2)A candidate shall not permit the candidate's principal campaign committee to accept a contribution from a political committee other than a political party, a political fund, a lobbyist, or a large giver, if the contribution will cause the aggregate contributions from those types of contributors to exceed an amount equal to 20 percent of the expenditure limits for the office sought by the candidate. For purposes of this subdivision, “large giver” means an individual, other than the candidate, who contributes an amount that is more than $100 and more than one-half the amount an individual may contribute. MN ST 10A.27(11)."
"MO1996","MO",1996,"L. 1994 S.B. 650; 1996 § 130.032 R.S.Mo.","Yes","All",1995,"No",,,"No",,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,"No",,,,,,,,,,,,,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,"Limited",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"Limited","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"MO1998","MO",1998," A.L. 1997 S.B. 16; 1998 § 130.032 R.S.Mo.","Yes","All",1995,"No",,,"No",,"Limited",275,"Per Election",550,"Limits not enforced due to injuction on pending lawsuits.",525,"Per Election",1050,"Limits not enforced due to injuction on pending lawsuits.",1075,"Per Election",2150,"Limits not enforced due to injuction on pending lawsuits.","Limited",275,"Per Election",550,"Limits not enforced due to injuction on pending lawsuits.",525,"Per Election",1050,"Limits not enforced due to injuction on pending lawsuits.",1075,"Per Election",2150,"Limits not enforced due to injuction on pending lawsuits.","No",,,,,,,,,,,,,"Limited",275,"Per Election",550,"Limits not enforced due to injuction on pending lawsuits.",525,"Per Election",1050,"Limits not enforced due to injuction on pending lawsuits.",1075,"Per Election",2150,"Limits not enforced due to injuction on pending lawsuits.","Limited",275,"Per Election",550,"Limits not enforced due to injuction on pending lawsuits.",525,"Per Election",1050,"Limits not enforced due to injuction on pending lawsuits.",1075,"Per Election",2150,"Limits not enforced due to injuction on pending lawsuits.","Limited",2500,"Per Election",5000,"Limits not enforced due to injuction on pending lawsuits.",5000,"Per Election",10000,"Limits not enforced due to injuction on pending lawsuits.",10000,"Per Election",20000,"Limits not enforced due to injuction on pending lawsuits.","Limited","2500","Per Election","5000","Limits not enforced due to injuction on pending lawsuits.","5000","Per Election","10000","Limits not enforced due to injuction on pending lawsuits.","10000","Per Election","20000","Limits not enforced due to injuction on pending lawsuits.","Limited",275,"Per Election",550,"Limits not enforced due to injuction on pending lawsuits.",525,"Per Election",1050,"Limits not enforced due to injuction on pending lawsuits.",1025,"Per Election",2050,"Limits not enforced due to injuction on pending lawsuits.","No",,"No",,,,,"No","No","No",,"No",,"No",
"MT1998","MT",1998,"Mont. Code Ann. §§ 13-37-216, 13-35-227, 13-37-218, 15-30-101(8)","No","aggregate contributions from PACs to senate and house",1984,"No",,,"No",,"Limited",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",400,"Per Election",800,"Primary elections are only regarded as separate if they are contested.","Limited",100,"Per Election",200,"A candidate for the state house of representatives may receive no more than $1150 in total combined monetary contributions from all political committees contributing to his campaign; Primary elections are only regarded as separate if they are contested.",100,"Per Election",200,"State senate candidates may receive no more than $1,950 in total combined monetary contributions from all political committees; Primary elections are only regarded as separate if they are contested.",400,"Per Election",800,"Primary elections are only regarded as separate if they are contested.","No",,,,,,,,,,,,,"Prohibited",0,,0,"This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, an employee, or a member of the corporation.",0,,0,,0,,0,,"Limited",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",400,"Per Election",800,"Primary elections are only regarded as separate if they are contested.","Limited",500,"Per Election",1000,"These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.",800,"Per Election",1600,"These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.",15000,"Per Election",30000,"These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.","Limited","500","Per Election","1000","These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.","800","Per Election","1600","These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.","15000","Per Election","30000","These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.","Limited",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",400,"Per Election",800,"Primary elections are only regarded as separate if they are contested.","No",,"No",,,,,,,"No",,"No",,"No",
"MT2000","MT",2000,"Mont. Code Ann. §§ 13-37-216, 13-35-227, 13-37-218, 15-30-101(8)","No","aggregate contributions from PACs to senate and house",1984,"No",,,"No",,"Limited",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",400,"Per Election",800,"Primary elections are only regarded as separate if they are contested.","Limited",100,"Per Election",200,"A candidate for the state house of representatives may receive no more than $1200 in total combined monetary contributions from all political committees contributing to his campaign; Primary elections are only regarded as separate if they are contested.",100,"Per Election",200,"State senate candidates may receive no more than $2,000 in total combined monetary contributions from all political committees; Primary elections are only regarded as separate if they are contested.",400,"Per Election",800,"Primary elections are only regarded as separate if they are contested.","No",,,,,,,,,,,,,"Prohibited",0,,0,"This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, an employee, or a member of the corporation.",0,,0,,0,,0,,"Limited",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",400,"Per Election",800,"Primary elections are only regarded as separate if they are contested.","Limited",500,"Per Election",1000,"These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.",800,"Per Election",1600,"These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.",15000,"Per Election",30000,"These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.","Limited","500","Per Election","1000","These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.","800","Per Election","1600","These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.","15000","Per Election","30000","These are aggregate, from all parties, limits. Primary elections are only regarded as separate if they are contested.","Limited",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",100,"Per Election",200,"Primary elections are only regarded as separate if they are contested.",400,"Per Election",800,"Primary elections are only regarded as separate if they are contested.","No",,"No",,,,,,,"No",,"No",,"No",
