Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_J,PublicFunding_J_type,PublicFunding_J_explain,Public Funding_J_Qualifying,PublicFunding_J_SpendLimit,PublicFunding_J_SpendLimit_Amount,PublicFunding_J_OtherConditions,PublicFunding_J_OtherConditions_Explained,PublicFunding_J_Trigger,PublicFunding_J_TriggerExplained,PublicFunding_J_Max,PublicFunding_J_Solicitation-by-Cand_Party,PublicFunding_J_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"OH2012","OH",2012,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"OH2014","OH",2014,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"OH2004","OH",2004,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"TX2018","TX",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TX1996","TX",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"TX1998","TX",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2000","TX",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2002","TX",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2004","TX",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2006","TX",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2008","TX",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2010","TX",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"TX2012","TX",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"NM2012","NM",2012,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"NM1998","NM",1998,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"NM2000","NM",2000,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"NM2002","NM",2002,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"NM2004","NM",2004,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"NM2006","NM",2006,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"NM2014","NM",2014,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"NM2010","NM",2010,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"NM1996","NM",1996,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,,,,,,,,,"Taxpayer may contribute $2 of his state income tax return (if the taxpayer is eligible for a tax return) to a state political party (under 1978 NMSA 1-7-2). If filing jointly, each individual may contribute to a party of their chosing.",,
"NM2008","NM",2008,"Session Law: 1992 N.M. Laws ch. 108 § 1; Current Code: 1978 N.M.S.A. §7-2-31","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","State Political Party","Taxpayer's choice","Unlimited",,"NM",,,,,,,,,,
"AL2014","AL",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AL",,,,,,,,,,
"AL1998","AL",1998,"(83-781) 40-18-146","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL2000","AL",2000,"(83-781) 40-18-146","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"TX2016","TX",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TX2014","TX",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"TX",,,,,,,,,,
"AK2012","AK",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK1996","AK",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"AK2020","AK",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AK2018","AK",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AK2014","AK",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2010","AK",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2008","AK",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2006","AK",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2004","AK",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2002","AK",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2000","AK",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK1998","AK",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2016","AK",2016,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"DE1998","DE",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE2008","DE",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE2016","DE",2016,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE2014","DE",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE2012","DE",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE2010","DE",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE2006","DE",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE2004","DE",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE2000","DE",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"DE1996","DE",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"DE2002","DE",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"DE",,,,,,,,,,
"IN2008","IN",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IN",,,,,,,,,,
"IN2010","IN",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IN",,,,,,,,,,
"IN1996","IN",1996,"Burns Ind. Code Ann. § 9-18-15-13","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Top two parties and any political party that cast at least five percent (5%) but less than thirty-three percent (33%) of the total vote of the state of all political parties at the last general election for the office of governor","The third-place party gets a fractional amount of the fund equal to the fraction of the vote cast by the party in the last gubernatorial election.  The top two parties each receive half of the remainder of the fund.","Not specified.",,,,,,,,,,"Revenues from personalized license plates.",,
"IN1998","IN",1998,"Burns Ind. Code Ann. § 9-18-15-13","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Top two parties and any political party that cast at least five percent (5%) but less than thirty-three percent (33%) of the total vote of the state of all political parties at the last general election for the office of governor","The third-place party gets a fractional amount of the fund equal to the fraction of the vote cast by the party in the last gubernatorial election.  The top two parties each receive half of the remainder of the fund.","Not specified.",,"IN",,,,,,,,,,
"IN2000","IN",2000,"Burns Ind. Code Ann. § 9-18-15-13","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Top two parties and any political party that cast at least five percent (5%) but less than thirty-three percent (33%) of the total vote of the state of all political parties at the last general election for the office of governor","The third-place party gets a fractional amount of the fund equal to the fraction of the vote cast by the party in the last gubernatorial election.  The top two parties each receive half of the remainder of the fund.","Not specified.",,"IN",,,,,,,,,,
"IN2002","IN",2002,"Burns Ind. Code Ann. § 9-18-15-13","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Top two parties and any political party that cast at least five percent (5%) but less than thirty-three percent (33%) of the total vote of the state of all political parties at the last general election for the office of governor","The third-place party gets a fractional amount of the fund equal to the fraction of the vote cast by the party in the last gubernatorial election.  The top two parties each receive half of the remainder of the fund.","Not specified.",,"IN",,,,,,,,,,
"IN2004","IN",2004,"Burns Ind. Code Ann. § 9-18-15-13","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Top two parties and any political party that cast at least five percent (5%) but less than thirty-three percent (33%) of the total vote of the state of all political parties at the last general election for the office of governor","The third-place party gets a fractional amount of the fund equal to the fraction of the vote cast by the party in the last gubernatorial election.  The top two parties each receive half of the remainder of the fund.","Not specified.",,"IN",,,,,,,,,,
"IN2012","IN",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IN",,,,,,,,,,
"IN2014","IN",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IN",,,,,,,,,,
"IN2016","IN",2016,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IN",,,,,,,,,,
"IN2018","IN",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN2020","IN",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN2006","IN",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IN",,,,,,,,,,
"MO2012","MO",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO2018","MO",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO2014","MO",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO2010","MO",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO2008","MO",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO2006","MO",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO2004","MO",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO2002","MO",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO2000","MO",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO1998","MO",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"MO1996","MO",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"MO2016","MO",2016,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"MO",,,,,,,,,,
"AZ1998","AZ",1998,"ARS §§ 16-807, 16-917, 43-612","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ1996","AZ",1996,"ARS §§ 16-807, 16-917, 43-612","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,,,,,,,,,"Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2016","AZ",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AZ2014","AZ",2014,"ARS §§ 16-807, 16-917, 43-612, 16-941 et. seq.","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","38133","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","38133","Yes","Participating candidates are required to attend debates","No","The Suprmee Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,884,040","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes",,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"MN1998","MN",1998,"Session Law: MN Laws 1974, c. 470, § 31; Current Code: MN ST §10A.31","Yes","Other","From (each) the General fund and the Party fund: House candidates receive 35% in election year in which the senate serves 2 year terms and receive 46 2/3% in calendar year in which senate serves 4 year terms.","For any funding: candidate must raise (counting only the first $50 from each contributor) $1,500 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 10% of the votes cast.","Yes","24083","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No","Yes","Other","From (each) the General fund and the Party fund: Senate candidates receive 35% in election year in which the senate serves 2 year terms and receive 23 2/3% in calendar year in which senate serves 4 year terms.","For any funding: candidate must raise (counting only the first $50 from each contributor) $3,500 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 10% of the votes cast.","Yes","9114","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No","Yes","Other","From the General account: Gubernatorial candidates receive 21% of the funds;  From the Party account: Gubernatorial candidates receive 14% of the funds.","For any funding: candidate must raise (counting only the first $50 from each contributor) $35,000 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 5% of the votes cast.","Yes","1926127","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No",,,,,,,,,,,,,,"Yes","Candidate must receive at least 10% of votes cast in order for party to be eligible; party may also receive 2000 signatures to be eligible","Party Committee receives 10% of funds in the party account","No maximum",,"MN",,,,,,,,"Checkoff from income tax and renter and homeowner property tax refund return. Each tax payer may checkoff $5; if joint return, each individual may checkoff $5.",,
