Identifier,State,Year,ContribLimit_Citation,COLA,COLA_Which,COLA_BaseYear,Adjustment_Other,Adjustment_Other_Explained,Adjustment_Other_BaseYear,Primary_General_Difference,Primary_General_Difference_Explained,IndividualToCand,IndividualToCandLimit_H,IndividualToCandLimit_H_Period,IndividualToCandLimit_H_Max,IndividualToCandLimit_H_Explained,IndividualToCandLimit_S,IndividualToCandLimit_S_Period,IndividualToCandLimit_S_Max,IndividualToCandLimit_S_Explained,IndividualToCandLimit_G,IndividualToCandLimit_G_Period,IndividualToCandLimit_G_Max,IndividualToCandLimit_G_Explained,IndividualToCandLimit_J,IndividualToCandLimit_J_Period,IndividualToCandLimit_J_Max,IndividualToCandLimit_J_Explained,PACToCand,PACToCandLimit_H,PACToCandLimit_H_Period,PACToCandLimit_H_Max,PACToCandLimit_H_Explained,PACToCandLimit_S,PACToCandLimit_S_Period,PACToCandLimit_S_Max,PACToCandLimit_S_Explained,PACToCandLimit_G,PACToCandLimit_G_Period,PACToCandLimit_G_Max,PACToCandLimit_G_Explained,PACToCandLimit_J,PACToCandLimit_J_Period,PACToCandLimit_J_Max,PACToCandLimit_J_Explained,SpecialPACToCand,SpecialPACToCandLimit_H,SpecialPACToCandLimit_H_Period,SpecialPACToCandLimit_H_Max,SpecialPACToCandLimit_H_Explained,SpecialPACToCandLimit_S,SpecialPACToCandLimit_S_Period,SpecialPACToCandLimit_S_Max,SpecialPACToCandLimit_S_Explained,SpecialPACToCandLimit_G,SpecialPACToCandLimit_G_Period,SpecialPACToCandLimit_G_Max,SpecialPACToCandLimit_G_Explained,SpecialPACToCandLimit_J,SpecialPACToCandLimit_J_Period,SpecialPACToCandLimit_J_Max,SpecialPACToCandLimit_J_Explained,CorpToCand,CorpToCandLimit_H,CorpToCandLimit_H_Period,CorpToCandLimit_H_Max,CorpToCandLimit_H_Explained,CorpToCandLimit_S,CorpToCandLimit_S_Period,CorpToCandLimit_S_Max,CorpToCandLimit_S_Explained,CorpToCandLimit_G,CorpToCandLimit_G_Period,CorpToCandLimit_G_Max,CorpToCandLimit_G_Explained,LaborToCand,LaborToCandLimit_H,LaborToCandLimit_H_Period,LaborToCandLimit_H_Max,LaborToCandLimit_H_Explained,LaborToCandLimit_S,LaborToCandLimit_S_Period,LaborToCandLimit_S_Max,LaborToCandLimit_S_Explained,LaborToCandLimit_G,LaborToCandLimit_G_Period,LaborToCandLimit_G_Max,LaborToCandLimit_G_Explained,StatePToCand,StatePToCandLimit_H,StatePToCandLimit_H_Period,StatePToCandLimit_H_Max,StatePToCandLimit_H_Explained,StatePToCandLimit_S,StatePToCandLimit_S_Period,StatePToCandLimit_S_Max,StatePToCandLimit_S_Explained,StatePToCandLimit_G,StatePToCandLimit_G_Period,StatePToCandLimit_G_Max,StatePToCandLimit_G_Explained,LocalPToCand,LocalPToCandLimit_H,LocalPToCandLimit_H_Period,LocalPToCandLimit_H_Max,LocalPToCandLimit_H_Explained,LocalPToCandLimit_S,LocalPToCandLimit_S_Period,LocalPToCandLimit_S_Max,LocalPToCandLimit_S_Explained,LocalPToCandLimit_G,LocalPToCandLimit_G_Period,LocalPToCandLimit_G_Max,LocalPToCandLimit_G_Explained,OtherCandToCand,OtherToCandLimit_H,OtherToCandLimit_H_Period,OtherToCandLimit_H_Max,OtherToCandLimit_H_Explained,OtherToCandLimit_S,OtherToCandLimit_S_Period,OtherToCandLimit_S_Max,OtherToCandLimit_S_Explained,OtherToCandLimit_G,OtherToCandLimit_G_Period,OtherToCandLimit_G_Max,OtherToCandLimit_G_Explained,AggCandLimit,AggCandLimitExplain,DoingBusinessLimits,DoingBusinessMinimum,DoingBusinessDonors,DoingBusinessContribLimit,DoingBusinessLimit_Period,DoingBusinessLimit_Max,DoingBusinessLimit_Explained,DoingBusinessCandidates,DoingBusinessParties,DoingBusinessOther,Lobbyist_Limits,Lobbyist_Limits_Explain,Session_Limit,Session_Limit_Explain,CandLimitExemptions,CandLimitExemptionsExplained,SpecialConditionsChangeLimits,SpecialConditionsLimitsExplained
"AZ2002","AZ",2002,"ARS §§ 16-905, 16-919","Yes","All",1997,"No",,1997,"No",,"Limited",270,"Per Election Cycle",270,"These limits are for candidates not participating in public financing.",270,"Per Election Cycle",270,,700,"Per Election Cycle",700,,,,,,"Limited",270,"Per Election Cycle",270,,270,"Per Election Cycle",270,,700,"Per Election Cycle",700,,,,,,"Limited","1380","Per Election Cycle","1380","These upper limits apply to political committees, excluding political parties, that raised money from more than 500 individuals in amounts of more than $10 in the one year prior to application to the secretary of state for certification","1380","Per Election Cycle","1380",,"3460","Per Election Cycle","3460",,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",6910,"Per Election Cycle",6910,"These limits are not actually limits on the size of the contributions made by parties, they are limits on the amount of party contributions a candidate can accept from parties, so they serve as indirect limits on the parties' contributions to candidates.",6910,"Per Election Cycle",6910,,69120,"Per Election Cycle",69120,,"Limited","6910","Per Election Cycle","6910","These limits are not actually limits on the size of the contributions made by parties, they are limits on the amount of party contributions a candidate can accept from parties, so they serve as indirect limits on the parties' contributions to candidates.","6910","Per Election Cycle","6910",,"69120","Per Election Cycle","69120",,"Prohibited",,,,,,,,,,,,,"Yes","An individual shall not contribute more than $3,230 in a calendar year to state and local candidates, political committees contributing to state or local candidates, and political committees advocating the election or defeat of state or local candidates. Contributions to political parties are exempt from this limitation","No",,,,,,,,,,"Yes","The limit is on when contributions and fundraising may occur and is defined below. A lobbyist is any person, other than a designated public lobbyist or authorized public lobbyist, who is employed by, retained by or representing a person other than himself for the purpose of lobbying and who is listed as a lobbyist by the principal in its registration. Lobbyist includes a lobbyist for compensation, designated lobbyist and authorized lobbyist.","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","If a non-statewide candidate contributes more than $13,530 of her own money to a campaign, or if a statewide candidate contributes more than $27,040 of her own money, they shall provide notice and the opposing candidate will not be bound by contribution limits until they receive funds equal to either the amount of her own money the candidate is contributing or the total funds held by that candidate."
"AZ2004","AZ",2004,"ARS §§ 16-905, 16-919","Yes","All",1997,"No",,1997,"No",,"Limited",280,"Per Election Cycle",280,"These limits are for candidates not participating in public financing.",280,"Per Election Cycle",280,,720,"Per Election Cycle",720,,,,,,"Limited",280,"Per Election Cycle",280,,280,"Per Election Cycle",280,,720,"Per Election Cycle",720,,,,,,"Limited","1440","Per Election Cycle","1440","These upper limits apply to political committees, excluding political parties, that raised money from more than 500 individuals in amounts of more than $10 in the one year prior to application to the secretary of state for certification","1440","Per Election Cycle","1440",,"3600","Per Election Cycle","3600",,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",7192,"Per Election Cycle",7192,"These limits are not actually limits on the size of the contributions made by parties, they are limits on the amount of party contributions a candidate can accept from parties, so they serve as indirect limits on the parties' contributions to candidates.",7192,"Per Election Cycle",7192,,71888,"Per Election Cycle",71888,,"Limited","7192","Per Election Cycle","7192","These limits are not actually limits on the size of the contributions made by parties, they are limits on the amount of party contributions a candidate can accept from parties, so they serve as indirect limits on the parties' contributions to candidates.","7192","Per Election Cycle","7192",,"71888","Per Election Cycle","71888",,"Prohibited",,,,,,,,,,,,,"Yes","An individual shall not contribute more than $3,360 in a calendar year to state and local candidates, political committees contributing to state or local candidates, and political committees advocating the election or defeat of state or local candidates. Contributions to political parties are exempt from this limitation","No",,,,,,,,,,"Yes","The limit is on when contributions and fundraising may occur and is defined below. A lobbyist is any person, other than a designated public lobbyist or authorized public lobbyist, who is employed by, retained by or representing a person other than himself for the purpose of lobbying and who is listed as a lobbyist by the principal in its registration. Lobbyist includes a lobbyist for compensation, designated lobbyist and authorized lobbyist.","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","If a non-statewide candidate contributes more than $14,070 of her own money to a campaign, or if a statewide candidate contributes more than $28,120 of her own money, they shall provide notice and the opposing candidate will not be bound by contribution limits until they receive funds equal to either the amount of her own money the candidate is contributing or the total funds held by that candidate."
"CA1998","CA",1998,"CGC §§ 84308, 85304; Stats. 1989 ch. 764 § 2; Prop. 73 § 1 (1988); most contribution limits enjoined by California Profile Council v. Scully, 989 F.Supp. 1282 (E.D. Cal. 1998)","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"No",,"Yes",0,"Participants or agents inolved in a proceeding involving a license, permit or other entitlement","$250 while the proceeding is ongoing and three months after",,,,"The limits apply to appointed officers of agencies who many not accept contributions above these levels","No","Yes","No",,"No",,"No",,"No",
"CA2000","CA",2000,"CGC §§ 84308, 85304; Stats. 1989 ch. 764 § 2; Prop. 73 § 1 (1988); most contribution limits enjoined by California Profile Council v. Scully, 989 F.Supp. 1282 (E.D. Cal. 1998)","Yes","All",1998,"No",,1998,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"No",,"Yes",0,"Participants or agents inolved in a proceeding involving a license, permit or other entitlement","$250 while the proceeding is ongoing and three months after",,,,"The limits apply to appointed officers of agencies who many not accept contributions above these levels","No","Yes","No",,"No",,"No",,"No",
"CA2002","CA",2002,"CGC §§ 83124, 84308, 85301, 85301, 85303, 85305, 85702; Prop 34 (2000); Stats. 1989 ch. 764 § 2","Yes","All",2001,"No",,2002,"No",,"Other",3000,"Per Election",6000,,3000,"Per Election",6000,,,,,"New contribution limits take effect after the 2002 election for statewide candidates",,,,,"Other",3000,"Per Election",6000,,3000,"Per Election",6000,,,,,"New contribution limits take effect after the 2002 election for statewide candidates",,,,,"Other","6000","Per Election","12000",,"6000","Per Election","12000",,,,,"New contribution limits take effect after the 2002 election for statewide candidates",,,,,"Other",3000,"Per Election",6000,,3000,"Per Election",6000,,,,,"New contribution limits take effect after the 2002 election for statewide candidates","Other",3000,"Per Election",6000,,3000,"Per Election",6000,,,,,"New contribution limits take effect after the 2002 election for statewide candidates","Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Other",3000,"Per Election",6000,,3000,"Per Election",6000,,,,,"New contribution limits take effect after the 2002 election for statewide candidates","No",,"Yes",0,"Participants or agents inolved in a proceeding involving a license, permit or other entitlement","$250 while the proceeding is ongoing and three months after",,,,"The limits apply to appointed officers of agencies who many not accept contributions above these levels","No","Yes","Yes","Lobbyists are prohibited from contributing to candidates or officeholders in agencies or bodies that they lobby","No",,"Yes","If the funds are used for purposes other than making contributions to candidates for elective state office.","No",
"CA2004","CA",2004,"CGC §§ 83124, 84308, 85301, 85301, 85303, 85305, 85702; Prop 34 (2000); Stats. 1989 ch. 764 § 2","Yes","All",2001,"No",,2002,"No",,"Limited",3200,"Per Election",6400,,3200,"Per Election",6400,,21200,"Per Election",42400,,,,,,"Limited",3200,"Per Election",6400,,3200,"Per Election",6400,,21200,"Per Election",42400,,,,,,"Limited","6400","Per Election","12800",,"6400","Per Election","12800",,"21200","Per Election","42400",,,,,,"Limited",3200,"Per Election",6400,,3200,"Per Election",6400,,21200,"Per Election",42400,,"Limited",3200,"Per Election",6400,,3200,"Per Election",6400,,21200,"Per Election",42400,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Limited",3200,"Per Election",6400,,3200,"Per Election",6400,,21200,"Per Election",42400,,"No",,"Yes",0,"Participants or agents inolved in a proceeding involving a license, permit or other entitlement","$250 while the proceeding is ongoing and three months after",,,,"The limits apply to appointed officers of agencies who many not accept contributions above these levels","No","Yes","Yes","Lobbyists are prohibited from contributing to candidates or officeholders in agencies or bodies that they lobby","No",,"Yes","If the funds are used for purposes other than making contributions to candidates for elective state office.","No",
"MO2004","MO",2004," A.L. 1997 S.B. 16; 2004 § 130.032 R.S.Mo.","Yes","All",1995,"No",,1996,"No",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"Limited","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"No",,"No",,,,,,,,"No","No","No",,"No",,"No",,"No",
"MO2006","MO",2006," A.L. 1997 S.B. 16; 2006 § 130.032 R.S.Mo.","Yes","All",1995,"No",,1996,"No",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"Limited","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"No",,"No",,,,,,,,"No","No","No",,"No",,"No",,"No",
"MO2008","MO",2008," A.L. 1997 S.B. 16; 2008 § 130.032 R.S.Mo.","Yes","All",1995,"No",,1996,"No",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"Limited","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"No",,"No",,,,,,,,"No","No","No",,"No",,"No",,"No",
"MO2010","MO",2010," A.L. 1997 S.B. 16; 2010 § 130.032 R.S.Mo.","Yes","All",1995,"No",,1996,"No",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"Limited","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"No",,"No",,,,,,,,"No","No","No",,"No",,"No",,"No",
"AK2014","AK",2014,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070; § 15.13.074","No",,,"No",,,"No",,"Limited",500,"Per Year",1000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",500,"Per Year",1000,,500,"Per Year",1000,,,,,,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",10000,"Per Year",10000,"A candidate, or a group acting on his behalf may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",15000,"Per Year",15000,,100000,"Per Year",100000,,"Limited","10000","Per Year","20000","A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.","15000","Per Year","30000",,"100000","Per Year","200000",,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, occupation, or professi.","Yes",,,,,
"AK2016","AK",2016,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070; § 15.13.074","No",,,"No",,,"No",,"Limited",500,"Per Year",1000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",500,"Per Year",1000,,500,"Per Year",1000,,,,,,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",10000,"Per Year",10000,"A candidate, or a group acting on his behalf may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",15000,"Per Year",15000,,100000,"Per Year",100000,,"Limited","10000","Per Year","20000","A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.","15000","Per Year","30000",,"100000","Per Year","200000",,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, occupation, or professi.","Yes",,,,,
"AK2018","AK",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AK2020","AK",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE1996","DE",1996,"67 Del. Laws, c. 449, § 1; 1996 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,,,,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,,,,"No","No","No",,"No",,"No",,"No",
"IN2002","IN",2002,"Burns Ind. Code Ann. § 3-5-2-4","No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"N/A",,"N/A",
"IN2004","IN",2004,"Burns Ind. Code Ann. § 3-5-2-4","No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"N/A",,"N/A",
"IN2006","IN",2006,"Burns Ind. Code Ann. § 3-5-2-4","No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"N/A",,"N/A",
"IN2008","IN",2008,"Burns Ind. Code Ann. § 3-5-2-4","No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"N/A",,"N/A",
"IN2010","IN",2010,"Burns Ind. Code Ann. § 3-5-2-4","No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"N/A",,"N/A",
"IN2012","IN",2012,"Burns Ind. Code Ann. § 3-5-2-4","No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"N/A",,"N/A",
"IN2014","IN",2014,"Burns Ind. Code Ann. § 3-5-2-4","No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"N/A",,"N/A",
"IN2016","IN",2016,"Burns Ind. Code Ann. § 3-5-2-4","No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"Limited",2000,"Per Year",4000,,2000,"Per Year",8000,,5000,"Per Year",20000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"No",,"N/A",,"N/A",
"IN2018","IN",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN2020","IN",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO1996","MO",1996,"L. 1994 S.B. 650; 1996 § 130.032 R.S.Mo.","Yes","All",1995,"No",,1996,"No",,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,,,,,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,"No",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"No","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",250,"Per Election",500,,500,"Per Election",1000,,1000,"Per Election",2000,,"No",,"No",,,,,,,,"No","No","No",,"No",,"No",,"No",
"MO1998","MO",1998," A.L. 1997 S.B. 16; 1998 § 130.032 R.S.Mo.","Yes","All",1995,"No",,1996,"No",,"Limited",275,"Per Election",550,,525,"Per Election",1050,,1075,"Per Election",2150,,,,,,"Limited",275,"Per Election",550,,525,"Per Election",1050,,1075,"Per Election",2150,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",275,"Per Election",550,,525,"Per Election",1050,,1075,"Per Election",2150,,"Limited",275,"Per Election",550,,525,"Per Election",1050,,1075,"Per Election",2150,,"Limited",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"Limited","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",275,"Per Election",550,,525,"Per Election",1050,,1025,"Per Election",2150,,"No",,"No",,,,,,,,"No","No","No",,,,"No",,"No",
